Municipality,County,Year,Electric Utility,Residential Electricity,Commercial Electricity,Industrial Electricity,Street Lighting Electricity,Total Electricity (kWh),Natural Gas Utility,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Street Lighting Natural Gas,Total Natural Gas (Therms)
Bass River Township,Burlington,2022,ACE,"5,998,963","2,994,788","6,035,188","79,897","15,108,836",NJNG,"175,863","571,744",CWC,NDA,"747,607"
Beverly City,Burlington,2016,PSEG,"7,488,452","2,125,964","18,617","221,290","9,854,323",PSEG,"660,412","97,833","3,930",NDA,"762,175"
Beverly City,Burlington,2017,PSEG,"7,138,858","2,162,654","33,847","200,520","9,535,879",PSEG,"663,164","105,167","3,872",NDA,"772,204"
Beverly City,Burlington,2018,PSEG,"7,675,040","2,088,557","35,748","245,945","10,045,290",PSEG,"774,465","115,176","7,457",NDA,"897,098"
Beverly City,Burlington,2019,PSEG,"7,690,253","2,010,523","16,117","226,923","9,943,816",PSEG,"744,539","103,751","6,806",NDA,"855,096"
Beverly City,Burlington,2020,PSEG,"8,003,742","1,803,950","35,247","226,507","10,069,446",PSEG,"687,125","89,950","6,727",NDA,"783,802"
Beverly City,Burlington,2021,PSEG,"8,356,868","1,987,440","44,045","227,783","10,616,136",PSEG,"762,289","96,546","6,773",NDA,"865,608"
Beverly City,Burlington,2022,PSEG,"8,413,752","2,048,326","35,377","224,228","10,721,683",PSEG,"800,823","111,064","7,100",NDA,"918,987"
Bordentown City,Burlington,2016,PSEG,"12,547,398","11,166,067","2,102,283","238,047","26,053,795",PSEG,"1,053,667","722,023","14,665",NDA,"1,790,354"
Bordentown City,Burlington,2017,PSEG,"11,885,073","10,976,598","2,140,773","233,001","25,235,445",PSEG,"1,027,940","540,760","11,191",NDA,"1,579,891"
Bordentown City,Burlington,2018,PSEG,"12,712,224","9,504,271","1,002,273","241,023","23,459,791",PSEG,"1,216,327","693,108","12,422",NDA,"1,921,856"
Bordentown City,Burlington,2019,PSEG,"12,152,809","7,812,854","90,096","239,926","20,295,685",PSEG,"1,156,337","607,332","8,270",NDA,"1,771,938"
Bordentown City,Burlington,2020,PSEG,"12,673,725","7,533,867","64,421","243,852","20,515,865",PSEG,"1,027,156","520,906","6,300",NDA,"1,554,361"
Bordentown City,Burlington,2021,PSEG,"12,744,764","7,610,986","76,589","241,894","20,674,233",PSEG,"1,110,628","548,476","7,949",NDA,"1,667,053"
Bordentown City,Burlington,2022,PSEG,"12,663,236","8,123,707","78,231","243,747","21,108,921",PSEG,"1,140,400","597,484","7,418",NDA,"1,745,303"
Bordentown Township,Burlington,2016,PSEG,"38,089,578","53,654,132","2,963,085","816,573","95,523,368",PSEG,"2,782,754","1,996,992","111,210",NDA,"4,890,955"
Bordentown Township,Burlington,2017,PSEG,"35,487,326","52,402,531","3,145,220","834,532","91,869,609",PSEG,"2,798,078","2,053,698","94,265",NDA,"4,946,041"
Bordentown Township,Burlington,2018,PSEG,"37,760,160","58,033,229","4,275,954","837,839","100,907,182",PSEG,"3,219,491","2,367,473","134,089",NDA,"5,721,053"
Bordentown Township,Burlington,2019,PSEG,"35,911,148","56,621,415","4,445,875","736,840","97,715,278",PSEG,"3,032,277","2,296,130","130,488",NDA,"5,458,895"
Bordentown Township,Burlington,2020,PSEG,"36,806,227","53,095,771","3,865,890","787,766","94,555,654",PSEG,"2,744,360","2,139,865","98,554",NDA,"4,982,779"
Bordentown Township,Burlington,2021,PSEG,"36,703,844","59,253,058","3,506,969","783,415","100,247,286",PSEG,"2,911,453","2,395,786","97,027",NDA,"5,404,266"
Bordentown Township,Burlington,2022,PSEG,"36,510,854","57,317,878","2,922,781","790,376","97,541,889",PSEG,"2,998,668","2,834,809","120,838",NDA,"5,954,315"
Burlington City,Burlington,2016,PSEG,"29,069,759","34,978,368","18,728,239","1,998,465","84,774,831",PSEG,"2,463,705","1,669,747","27,116",NDA,"4,160,567"
Burlington City,Burlington,2017,PSEG,"27,631,968","35,444,115","15,826,297","1,938,350","80,840,730",PSEG,"2,572,904","1,987,537","28,404",NDA,"4,588,844"
Burlington City,Burlington,2018,PSEG,"29,872,735","35,557,004","15,939,131","2,053,979","83,422,849",PSEG,"2,970,857","1,623,068","36,045",NDA,"4,629,970"
Burlington City,Burlington,2019,PSEG,"29,046,798","33,991,353","17,316,907","2,051,554","82,406,612",PSEG,"2,808,930","1,473,678","31,285",NDA,"4,313,894"
Burlington City,Burlington,2020,PSEG,"29,894,507","30,156,971","19,106,447","2,069,146","81,227,071",PSEG,"2,558,025","1,246,587","28,782",NDA,"3,833,394"
Burlington City,Burlington,2021,PSEG,"31,722,537","31,626,215","16,453,163","2,053,266","81,855,181",PSEG,"2,865,180","1,415,058","34,411",NDA,"4,314,650"
Burlington City,Burlington,2022,PSEG,"31,542,481","32,658,013","15,731,600","1,969,774","81,901,868",PSEG,"2,876,372","1,503,994","31,364",NDA,"4,411,730"
Burlington Township,Burlington,2016,PSEG,"74,336,017","111,286,084","4,609,909","1,174,016","191,406,026",PSEG,"5,258,470","6,848,970","24,066,931",NDA,"36,174,370"
Burlington Township,Burlington,2017,PSEG,"70,149,497","103,421,503","4,431,195","1,167,073","179,169,268",PSEG,"5,548,862","8,231,478","9,045,646",NDA,"22,825,986"
Burlington Township,Burlington,2018,PSEG,"72,904,856","106,819,157","4,527,743","1,193,089","185,444,845",PSEG,"6,432,310","8,200,836","11,956,421",NDA,"26,589,566"
Burlington Township,Burlington,2019,PSEG,"69,358,515","104,265,613","4,329,519","1,267,008","179,220,655",PSEG,"6,097,124","8,235,758","9,598,239",NDA,"23,931,121"
Burlington Township,Burlington,2020,PSEG,"71,141,020","94,252,137","4,648,904","1,215,815","171,257,876",PSEG,"5,607,920","7,650,310","9,270,158",NDA,"22,528,388"
Burlington Township,Burlington,2021,PSEG,"71,057,006","96,881,310","4,639,507","1,220,197","173,798,020",PSEG,"6,001,329","8,243,497","10,149,034",NDA,"24,393,860"
Burlington Township,Burlington,2022,PSEG,"69,434,414","96,076,002","4,200,945","1,222,200","170,933,561",PSEG,"5,969,148","8,482,200","13,098,675",NDA,"27,550,023"
Chesterfield Township,Burlington,2016,PSEG/JCPL,"19,790,601","18,037,424","24,078,802","281,232","62,188,059",PSEG,"1,187,946","1,332,365",NDA,NDA,"2,520,311"
Chesterfield Township,Burlington,2017,PSEG/JCPL,"19,116,994","17,573,477","20,671,607","238,027","57,600,105",PSEG,"1,223,257","3,020,399",NDA,NDA,"4,243,656"
Chesterfield Township,Burlington,2018,PSEG/JCPL,"22,475,003","22,668,732",266,"323,077","45,467,078",PSEG,"1,468,557","3,159,752",NDA,NDA,"4,628,309"
Chesterfield Township,Burlington,2019,PSEG/JCPL,"21,838,248","20,595,740","40,966,353","356,965","83,757,306",PSEG,"1,414,451","3,363,799",NDA,NDA,"4,778,250"
Chesterfield Township,Burlington,2020,PSEG/JCPL,"22,540,581","17,636,796","14,655,139","337,556","55,170,072",PSEG,"1,321,408","718,850",NDA,NDA,"2,040,259"
Chesterfield Township,Burlington,2021,PSEG/JCPL,"22,756,476","25,145,268","2,922,253","343,863","51,167,860",PSEG,"1,396,974","346,453",NDA,NDA,"1,743,427"
Chesterfield Township,Burlington,2022,PSEG/JCPL,"22,662,673","59,853,437","14,153,312","394,717","97,064,139",PSEG,"1,441,510","324,406",NDA,NDA,"1,765,916"
Cinnaminson Township,Burlington,2016,PSEG,"60,710,819","66,281,040","3,465,530","1,254,367","131,711,756",PSEG,"4,713,224","2,071,761","105,198",NDA,"6,890,183"
Cinnaminson Township,Burlington,2017,PSEG,"55,726,374","66,334,132","3,427,649","1,282,864","126,771,019",PSEG,"4,753,780","2,188,321","100,747",NDA,"7,042,849"
Cinnaminson Township,Burlington,2018,PSEG,"62,411,034","67,781,961","4,572,994","1,447,868","136,213,857",PSEG,"5,642,630","2,492,780","716,802",NDA,"8,852,211"
Cinnaminson Township,Burlington,2019,PSEG,"58,121,755","65,518,180","4,955,475","1,225,665","129,821,075",PSEG,"5,080,077","2,206,645","970,725",NDA,"8,257,447"
Cinnaminson Township,Burlington,2020,PSEG,"59,762,572","59,692,127","5,189,087","1,325,092","125,968,878",PSEG,"4,578,067","1,924,155","696,528",NDA,"7,198,750"
Cinnaminson Township,Burlington,2021,PSEG,"60,817,015","61,275,990","5,223,526","1,329,342","128,645,873",PSEG,"4,819,460","2,095,283","893,898",NDA,"7,808,641"
Cinnaminson Township,Burlington,2022,PSEG,"60,386,625","63,022,474","4,898,368","1,339,689","129,647,156",PSEG,"5,161,922","2,224,371","827,392",NDA,"8,213,685"
Delanco Township,Burlington,2016,PSEG,"17,505,946","8,851,693","2,416,550","248,284","29,022,473",PSEG,"1,387,066","234,005","172,345",NDA,"1,793,416"
Delanco Township,Burlington,2017,PSEG,"16,348,877","9,420,370","2,452,554","241,315","28,463,116",PSEG,"1,404,926","253,579","183,754",NDA,"1,842,259"
Delanco Township,Burlington,2018,PSEG,"17,105,567","10,451,476","2,505,157","273,969","30,336,169",PSEG,"1,522,237","383,126","208,665",NDA,"2,114,027"
Delanco Township,Burlington,2019,PSEG,"16,597,190","11,000,756","2,499,952","255,752","30,353,650",PSEG,"1,326,079","454,097","219,118",NDA,"1,999,294"
Delanco Township,Burlington,2020,PSEG,"16,924,959","11,196,892","2,227,604","257,355","30,606,810",PSEG,"1,225,296","449,487","178,956",NDA,"1,853,739"
Delanco Township,Burlington,2021,PSEG,"17,551,583","14,179,860","2,429,297","256,238","34,416,978",PSEG,"1,335,116","512,373","204,355",NDA,"2,051,844"
Delanco Township,Burlington,2022,PSEG,"17,857,503","14,529,554","2,581,530","253,332","35,221,919",PSEG,"1,405,992","581,531","224,857",NDA,"2,212,379"
Delran Township,Burlington,2016,PSEG,"58,536,308","47,759,758","17,487,977","828,202","124,612,245",PSEG,"3,629,685","2,119,810","33,617",NDA,"5,783,112"
Delran Township,Burlington,2017,PSEG,"55,240,351","47,450,091","15,771,927","819,844","119,282,213",PSEG,"3,631,421","2,409,959","85,049",NDA,"6,126,429"
Delran Township,Burlington,2018,PSEG,"58,361,928","44,606,445","16,066,599","794,118","119,829,090",PSEG,"4,236,944","2,590,756","117,704",NDA,"6,945,404"
Delran Township,Burlington,2019,PSEG,"56,250,221","44,201,600","15,898,543","807,636","117,158,000",PSEG,"3,995,003","2,476,350","52,310",NDA,"6,523,662"
Delran Township,Burlington,2020,PSEG,"57,667,875","39,846,115","17,029,464","808,292","115,351,746",PSEG,"3,649,768","2,220,856","8,581",NDA,"5,879,205"
Delran Township,Burlington,2021,PSEG,"57,692,146","40,073,349","18,315,422","804,391","116,885,308",PSEG,"3,861,398","2,501,986","9,408",NDA,"6,372,792"
Delran Township,Burlington,2022,PSEG,"56,893,432","39,773,517","15,751,755","802,567","113,221,271",PSEG,"3,985,142","2,609,005","8,694",NDA,"6,602,841"
Eastampton Township,Burlington,2016,PSEG,"20,915,447","6,787,689","7,962","412,498","28,123,596",PSEG,"1,114,412","246,020",448,NDA,"1,360,880"
Eastampton Township,Burlington,2017,PSEG,"19,878,714","6,780,334","8,220","413,376","27,080,644",PSEG,"1,170,028","261,929",476,NDA,"1,432,432"
Eastampton Township,Burlington,2018,PSEG,"21,504,542","6,953,668","74,126","419,448","28,951,784",PSEG,"1,370,259","292,439",512,NDA,"1,663,210"
Eastampton Township,Burlington,2019,PSEG,"20,966,651","6,732,984","118,355","428,792","28,246,782",PSEG,"1,313,654","292,454",527,NDA,"1,606,635"
Eastampton Township,Burlington,2020,PSEG,"21,978,386","5,964,235","70,320","438,703","28,451,644",PSEG,"1,257,029","251,472",524,NDA,"1,509,025"
Eastampton Township,Burlington,2021,PSEG,"23,544,435","6,578,213","69,249","438,505","30,630,402",PSEG,"1,396,743","270,357",473,NDA,"1,667,572"
Eastampton Township,Burlington,2022,PSEG,"23,542,859","7,150,566","76,937","438,550","31,208,912",PSEG,"1,434,451","293,013",412,NDA,"1,727,875"
Edgewater Park Township,Burlington,2016,PSEG,"27,743,348","21,308,121","44,624","435,107","49,531,200",PSEG,"2,055,893","810,727","82,818",NDA,"2,949,439"
Edgewater Park Township,Burlington,2017,PSEG,"25,884,386","20,952,546","43,522","421,144","47,301,598",PSEG,"2,098,147","857,869","81,625",NDA,"3,037,641"
Edgewater Park Township,Burlington,2018,PSEG,"27,730,832","20,114,167","47,067","459,857","48,351,923",PSEG,"2,427,358","905,842","92,304",NDA,"3,425,505"
Edgewater Park Township,Burlington,2019,PSEG,"26,880,152","19,496,287","46,905","443,439","46,866,783",PSEG,"2,277,725","930,624","87,294",NDA,"3,295,643"
Edgewater Park Township,Burlington,2020,PSEG,"27,006,147","18,145,451","39,491","440,465","45,631,554",PSEG,"2,058,095","774,230","80,574",NDA,"2,912,899"
Edgewater Park Township,Burlington,2021,PSEG,"27,526,054","19,393,734","47,941","441,278","47,409,007",PSEG,"2,218,536","858,757","79,477",NDA,"3,156,770"
Edgewater Park Township,Burlington,2022,PSEG,"27,326,919","19,628,809","45,036","415,513","47,416,277",PSEG,"2,285,449","893,253","96,715",NDA,"3,275,417"
Evesham Township,Burlington,2016,PSEG/ACE,"177,162,112","169,934,224","575,002","2,537,506","350,208,844",PSEG/SJG,"14,897,803","4,789,105","7,311",NDA,"19,694,220"
Evesham Township,Burlington,2017,PSEG/ACE,"166,985,501","165,891,326","1,464,332","1,999,448","336,340,607",PSEG/SJG,"15,319,209","5,032,685","7,096",NDA,"20,358,990"
Evesham Township,Burlington,2018,PSEG/ACE,"173,820,119","170,814,143","1,032,601","2,169,686","347,836,549",PSEG/SJG,"17,382,795","5,959,270","8,197",NDA,"23,350,263"
Evesham Township,Burlington,2019,PSEG/ACE,"168,321,995","163,295,025","985,659","2,480,477","335,083,156",PSEG/SJG,"16,726,419","5,748,676","6,361",NDA,"22,481,456"
Evesham Township,Burlington,2020,PSEG/ACE,"172,294,656","151,408,262","813,382","2,479,636","326,995,936",PSEG/SJG,"15,471,499","4,940,570","5,553",NDA,"20,417,622"
Evesham Township,Burlington,2021,PSEG/ACE,"174,104,635","154,310,915","1,315,959","2,511,002","332,242,511",PSEG/SJG,"16,761,788","5,411,121","6,055",NDA,"22,178,964"
Evesham Township,Burlington,2022,PSEG/ACE,"170,173,804","160,457,601","1,017,404","2,391,003","334,039,812",PSEG/SJG,"16,582,166","5,546,496","6,522",NDA,"22,135,184"
FieldsBorough Borough,Burlington,2016,PSEG,"1,984,591","788,312","15,832,806","63,996","18,669,705",PSEG,"140,429","35,652","1,260,885",NDA,"1,436,966"
FieldsBorough Borough,Burlington,2017,PSEG,"1,906,345","803,533","14,334,043","64,022","17,107,943",PSEG,"142,366","35,480","1,316,085",NDA,"1,493,931"
FieldsBorough Borough,Burlington,2018,PSEG,"2,084,683","849,401","14,239,373","65,004","17,238,461",PSEG,"168,092","35,559","1,470,493",NDA,"1,674,145"
FieldsBorough Borough,Burlington,2019,PSEG,"1,940,174","858,395","15,229,945","65,144","18,093,658",PSEG,"163,435","31,777","1,369,041",NDA,"1,564,253"
FieldsBorough Borough,Burlington,2020,PSEG,"1,937,601","804,386","15,764,104","65,538","18,571,629",PSEG,"142,258","30,026","1,424,236",NDA,"1,596,520"
FieldsBorough Borough,Burlington,2021,PSEG,"2,001,409","864,270","15,594,760","65,642","18,526,081",PSEG,"155,420","29,841","1,280,130",NDA,"1,465,390"
FieldsBorough Borough,Burlington,2022,PSEG,"2,062,402","846,748","16,056,793","65,641","19,031,584",PSEG,"161,825","33,222","1,468,660",NDA,"1,663,706"
Florence Township,Burlington,2016,PSEG,"42,243,923","60,342,518","19,724,861","695,589","123,006,891",PSEG,"2,859,097","1,942,101","238,833",NDA,"5,040,030"
Florence Township,Burlington,2017,PSEG,"39,920,931","66,838,714","19,317,225","716,991","126,793,861",PSEG,"3,018,289","2,042,183","222,481",NDA,"5,282,953"
Florence Township,Burlington,2018,PSEG,"42,501,936","66,462,985","20,098,460","707,724","129,771,105",PSEG,"3,498,693","2,466,148","228,449",NDA,"6,193,290"
Florence Township,Burlington,2019,PSEG,"40,982,167","61,903,701","20,577,870","711,737","124,175,475",PSEG,"3,230,579","2,281,945","480,430",NDA,"5,992,954"
Florence Township,Burlington,2020,PSEG,"41,979,936","60,704,714","19,788,879","720,862","123,194,391",PSEG,"2,967,692","1,996,528","156,270",NDA,"5,120,490"
Florence Township,Burlington,2021,PSEG,"42,720,689","71,441,417","15,999,587","719,307","130,881,000",PSEG,"3,230,421","2,399,672","261,074",NDA,"5,891,167"
Florence Township,Burlington,2022,PSEG,"41,721,042","70,660,910","15,531,713","716,339","128,630,004",PSEG,"3,194,735","2,718,592","316,250",NDA,"6,229,577"
Hainesport Township,Burlington,2016,PSEG,"25,960,846","18,197,696","2,055,490","409,197","46,623,229",PSEG,"1,429,455","555,019","312,601",NDA,"2,297,075"
Hainesport Township,Burlington,2017,PSEG,"24,509,801","13,447,203","2,369,068","356,857","40,682,929",PSEG,"1,495,798","1,008,554","586,267",NDA,"3,090,619"
Hainesport Township,Burlington,2018,PSEG,"25,515,715","13,945,842","2,459,159","417,192","42,337,908",PSEG,"1,748,618","1,155,391","396,583",NDA,"3,300,592"
Hainesport Township,Burlington,2019,PSEG,"24,362,222","12,712,963","2,430,614","433,256","39,939,055",PSEG,"1,618,698","1,078,710","285,023",NDA,"2,982,432"
Hainesport Township,Burlington,2020,PSEG,"24,555,397","12,513,778","1,925,303","431,482","39,425,960",PSEG,"1,470,871","1,002,269","310,261",NDA,"2,783,400"
Hainesport Township,Burlington,2021,PSEG,"24,833,412","12,862,039","1,815,515","431,727","39,942,693",PSEG,"1,601,601","1,056,111","232,740",NDA,"2,890,451"
Hainesport Township,Burlington,2022,PSEG,"24,480,294","13,230,619","1,875,781","431,458","40,018,152",PSEG,"1,620,470","1,063,441","458,229",NDA,"3,142,140"
Lumberton Township,Burlington,2016,PSEG,"46,525,345","48,795,349","3,668,147","635,322","99,624,163",PSEG,"2,815,888","1,527,534","3,202",NDA,"4,346,623"
Lumberton Township,Burlington,2017,PSEG,"44,617,504","45,812,576","3,558,124","580,287","94,568,491",PSEG,"2,923,043","1,468,555","9,801",NDA,"4,401,400"
Lumberton Township,Burlington,2018,PSEG,"46,474,976","46,101,580","4,395,854","638,961","97,611,371",PSEG,"3,368,268","1,769,980","11,885",NDA,"5,150,132"
Lumberton Township,Burlington,2019,PSEG,"44,836,551","44,922,670","4,390,793","637,228","94,787,242",PSEG,"3,145,651","1,640,840",599,NDA,"4,787,090"
Lumberton Township,Burlington,2020,PSEG,"45,124,854","41,060,024","4,354,612","637,530","91,177,020",PSEG,"2,885,662","1,549,848",8,NDA,"4,435,519"
Lumberton Township,Burlington,2021,PSEG,"45,605,524","40,086,408","4,768,070","640,309","91,100,311",PSEG,"3,097,641","1,712,434",208,NDA,"4,810,283"
Lumberton Township,Burlington,2022,PSEG,"44,606,545","38,999,098","4,892,045","638,310","89,135,998",PSEG,"3,112,756","1,699,844",953,NDA,"4,813,553"
Mansfield Township,Burlington,2016,PSEG,"36,104,568","18,612,474","1,230,056","546,024","56,493,122",PSEG,"2,582,251","977,293","14,551",NDA,"3,574,095"
Mansfield Township,Burlington,2017,PSEG,"34,202,248","20,249,125","1,119,939","518,569","56,089,881",PSEG,"2,779,126","1,046,065","38,117",NDA,"3,863,308"
Mansfield Township,Burlington,2018,PSEG,"36,205,664","18,605,776","1,380,547","541,350","56,733,337",PSEG,"3,126,386","876,665","342,480",NDA,"4,345,531"
Mansfield Township,Burlington,2019,PSEG,"34,183,322","19,082,590","1,284,081","552,063","55,102,056",PSEG,"2,954,355","627,822","506,100",NDA,"4,088,277"
Mansfield Township,Burlington,2020,PSEG,"34,205,450","17,102,256","1,229,242","553,503","53,090,451",PSEG,"2,702,304","562,194","393,768",NDA,"3,658,266"
Mansfield Township,Burlington,2021,PSEG,"34,556,873","19,693,750","998,310","555,599","55,804,532",PSEG,"2,918,195","715,753","402,891",NDA,"4,036,839"
Mansfield Township,Burlington,2022,PSEG,"33,641,524","21,144,301","695,438","549,501","56,030,764",PSEG,"2,924,294","799,416","325,679",NDA,"4,049,388"
Maple Shade Township,Burlington,2016,PSEG,"60,887,847","65,327,979","1,454,312","1,254,642","128,924,780",PSEG,"3,760,145","3,246,158","18,004",NDA,"7,024,307"
Maple Shade Township,Burlington,2017,PSEG,"57,725,174","63,180,932","1,431,547","1,229,974","123,567,627",PSEG,"3,704,376","3,164,399","23,980",NDA,"6,892,755"
Maple Shade Township,Burlington,2018,PSEG,"61,255,181","65,008,683","1,258,539","1,251,281","128,773,684",PSEG,"4,261,163","3,593,771","24,673",NDA,"7,879,607"
Maple Shade Township,Burlington,2019,PSEG,"58,951,182","60,791,209","4,882,417","1,228,917","125,853,725",PSEG,"3,996,336","3,456,944","26,431",NDA,"7,479,711"
Maple Shade Township,Burlington,2020,PSEG,"59,626,616","55,924,990","4,504,892","1,256,934","121,313,432",PSEG,"3,601,299","3,101,293","22,742",NDA,"6,725,333"
Maple Shade Township,Burlington,2021,PSEG,"60,466,959","56,587,342","3,924,825","1,282,663","122,261,789",PSEG,"3,845,449","3,161,448","26,464",NDA,"7,033,361"
Maple Shade Township,Burlington,2022,PSEG,"59,255,663","55,774,436","4,179,706","1,210,097","120,419,902",PSEG,"3,980,073","3,402,512","25,605",NDA,"7,408,190"
Medford Lakes Borough,Burlington,2016,PSEG,"17,167,895","2,709,548",NDA,"140,721","20,018,164",SJG,"2,450,805","574,170",NDA,NDA,"3,024,975"
Medford Lakes Borough,Burlington,2017,PSEG,"16,562,208","2,645,543",NDA,"78,376","19,286,127",SJG,"2,604,803","618,151",NDA,NDA,"3,222,953"
Medford Lakes Borough,Burlington,2018,PSEG,"17,528,740","2,734,987",NDA,"132,604","20,396,331",SJG,"2,974,173","585,617",NDA,NDA,"3,559,790"
Medford Lakes Borough,Burlington,2019,PSEG,"16,860,478","2,899,605",NDA,"148,566","19,908,649",SJG,"2,871,936","551,483",NDA,NDA,"3,423,420"
Medford Lakes Borough,Burlington,2020,PSEG,"17,111,039","2,631,868",NDA,"148,452","19,891,359",SJG,"2,664,371","491,552",NDA,NDA,"3,155,923"
Medford Lakes Borough,Burlington,2021,PSEG,"17,316,205","2,817,023",NDA,"148,461","20,281,689",SJG,"2,914,385","527,342",NDA,NDA,"3,441,727"
Medford Lakes Borough,Burlington,2022,PSEG,"16,956,937","3,014,058",NDA,"148,457","20,119,452",SJG,"2,868,369","540,859",NDA,NDA,"3,409,228"
Medford Township,Burlington,2016,PSEG/ACE,"110,440,615","63,998,461","1,002,434","1,279,141","176,720,651",PSEG/SJG,"12,574,810","3,148,849","7,183",NDA,"15,730,841"
Medford Township,Burlington,2017,PSEG/ACE,"103,471,574","63,346,042","987,200","1,002,416","168,807,232",PSEG/SJG,"13,154,897","3,439,327","10,202",NDA,"16,604,426"
Medford Township,Burlington,2018,PSEG/ACE,"106,098,831","62,195,903","2,285,158","1,237,313","171,817,205",PSEG/SJG,"14,320,029","3,777,823","8,348",NDA,"18,106,200"
Medford Township,Burlington,2019,PSEG/ACE,"103,121,062","59,710,543","2,074,282","1,318,103","166,223,990",PSEG/SJG,"14,178,406","3,715,686",NDA,NDA,"17,894,092"
Medford Township,Burlington,2020,PSEG/ACE,"104,786,687","53,588,216","2,167,606","1,334,576","161,877,085",PSEG/SJG,"13,295,815","3,213,803",NDA,NDA,"16,509,619"
Medford Township,Burlington,2021,PSEG/ACE,"105,445,308","54,911,076","2,231,591","1,345,088","163,933,063",PSEG/SJG,"14,500,760","3,604,881",NDA,NDA,"18,105,641"
Medford Township,Burlington,2022,PSEG/ACE,"104,821,713","56,238,777","2,295,545","1,350,680","164,706,715",PSEG/SJG,"14,356,050","3,616,049",NDA,NDA,"17,972,099"
Moorestown Township,Burlington,2016,PSEG,"97,263,002","150,029,194","88,628,174","1,381,882","337,302,252",PSEG,"7,590,178","5,002,637","208,966","16,544","12,818,324"
Moorestown Township,Burlington,2017,PSEG,"90,750,159","147,197,676","90,066,136","1,362,980","329,376,951",PSEG,"7,305,975","5,073,188","235,842","14,647","12,629,651"
Moorestown Township,Burlington,2018,PSEG,"98,675,606","149,967,184","91,938,237","1,421,837","342,002,864",PSEG,"8,747,002","5,699,038","247,731","5,456","14,699,226"
Moorestown Township,Burlington,2019,PSEG,"93,997,183","145,076,832","94,291,774","1,502,877","334,868,666",PSEG,"8,075,890","5,265,550","320,774",NDA,"13,662,214"
Moorestown Township,Burlington,2020,PSEG,"95,403,091","131,146,995","91,790,226","1,435,842","319,776,154",PSEG,"7,416,575","4,475,061","275,886",NDA,"12,167,521"
Moorestown Township,Burlington,2021,PSEG,"95,626,470","134,535,533","93,478,174","1,433,110","325,073,287",PSEG,"7,778,855","4,921,716","287,186",NDA,"12,987,757"
Moorestown Township,Burlington,2022,PSEG,"93,935,358","133,780,939","92,711,611","1,347,704","321,775,612",PSEG,"8,130,169","4,862,282","278,507",NDA,"13,270,958"
Mount Holly Township,Burlington,2016,PSEG,"30,657,760","52,517,349","5,122,737","884,355","89,182,201",PSEG,"2,317,036","1,680,552","68,425",NDA,"4,066,013"
Mount Holly Township,Burlington,2017,PSEG,"29,743,249","52,124,614","4,939,510","900,465","87,707,838",PSEG,"2,384,546","1,781,468","63,779",NDA,"4,229,793"
Mount Holly Township,Burlington,2018,PSEG,"31,355,026","53,844,115","5,623,918","892,844","91,715,903",PSEG,"2,764,496","1,984,940","82,466",NDA,"4,831,903"
Mount Holly Township,Burlington,2019,PSEG,"30,091,729","52,770,044","6,040,565","908,082","89,810,420",PSEG,"2,546,917","2,030,485","91,270",NDA,"4,668,672"
Mount Holly Township,Burlington,2020,PSEG,"30,986,574","50,214,723","5,699,067","914,465","87,814,829",PSEG,"2,408,730","1,774,055","78,408",NDA,"4,261,194"
Mount Holly Township,Burlington,2021,PSEG,"32,022,956","49,666,507","5,883,780","913,931","88,487,174",PSEG,"2,583,598","1,903,787","80,907",NDA,"4,568,292"
Mount Holly Township,Burlington,2022,PSEG,"31,715,233","49,426,245","4,429,020","907,778","86,478,276",PSEG,"2,577,700","1,838,703","49,724",NDA,"4,466,127"
Mount Laurel Township,Burlington,2016,PSEG/ACE,"171,783,606","327,161,019","14,283,038","2,793,637","516,021,300",PSEG,"10,706,566","6,262,419","91,644",NDA,"17,060,628"
Mount Laurel Township,Burlington,2017,PSEG/ACE,"163,112,299","316,930,754","15,039,731","2,680,024","497,762,808",PSEG,"10,554,153","6,279,162","96,144",NDA,"16,929,459"
Mount Laurel Township,Burlington,2018,PSEG/ACE,"172,956,081","325,565,531","13,940,514","2,756,017","515,218,143",PSEG,"12,330,631","6,471,007","760,036",NDA,"19,561,675"
Mount Laurel Township,Burlington,2019,PSEG/ACE,"166,012,441","318,772,839","13,933,851","2,802,100","501,521,231",PSEG,"11,609,526","6,396,465","908,295",NDA,"18,914,286"
Mount Laurel Township,Burlington,2020,PSEG/ACE,"169,728,983","284,200,661","12,627,852","2,813,331","469,370,827",PSEG,"10,536,077","5,230,961","882,516",NDA,"16,649,554"
Mount Laurel Township,Burlington,2021,PSEG/ACE,"172,459,236","276,858,933","12,629,701","2,835,529","464,783,399",PSEG,"11,166,005","5,578,155","887,699",NDA,"17,631,859"
Mount Laurel Township,Burlington,2022,PSEG/ACE,"170,190,170","281,724,864","13,285,328","2,818,088","468,018,450",PSEG,"11,497,540","6,024,712","758,071",NDA,"18,280,323"
New Hanover Township,Burlington,2016,JCPL,NDA,NDA,NDA,NDA,NDA,PSEG,"615,448","6,661,218",NDA,NDA,"7,276,665"
New Hanover Township,Burlington,2017,JCPL,NDA,NDA,NDA,NDA,NDA,PSEG,"668,514","7,131,507",NDA,NDA,"7,800,021"
