Municipality,County,Year,Electric Utility,Residential Electricity,Commercial Electricity,Industrial Electricity,Street Lighting Electricity,Total Electricity (kWh),Natural Gas Utility,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Street Lighting Natural Gas,Total Natural Gas (Therms)
Corbin City,Atlantic,2018,ACE,"2,469,656","1,186,447",NDA,"23,349","3,679,452",SJG,"75,780","34,162",NDA,NDA,"109,942"
Corbin City,Atlantic,2019,ACE,"2,388,025","1,122,058",NDA,"18,846","3,528,929",SJG,"70,078","20,708",NDA,NDA,"90,786"
Corbin City,Atlantic,2020,ACE,"2,364,607","1,106,721",NDA,"18,092","3,489,420",SJG,"67,449","18,784",NDA,NDA,"86,233"
Corbin City,Atlantic,2021,ACE,"2,533,556","1,040,828",NDA,"18,090","3,592,474",SJG,"75,443","22,409",NDA,NDA,"97,853"
Corbin City,Atlantic,2022,ACE,"2,501,317","1,103,488",NDA,"18,092","3,622,897",SJG,"79,276","21,141",NDA,NDA,"100,417"
Egg Harbor City,Atlantic,2016,ACE,"18,221,257","16,043,875","4,980,245","389,977","39,635,354",SJG,"1,725,089","1,447,629","10,322",NDA,"3,183,041"
Egg Harbor City,Atlantic,2017,ACE,"16,921,131","16,444,642","5,972,103","394,934","39,732,810",SJG,"1,782,483","1,377,989","10,643",NDA,"3,171,115"
Egg Harbor City,Atlantic,2018,ACE,"18,333,308","16,925,073","6,702,746","395,161","42,356,288",SJG,"2,135,531","1,588,071","12,711",NDA,"3,736,313"
Egg Harbor City,Atlantic,2019,ACE,"17,539,519","16,014,980","4,891,579","396,584","38,842,662",SJG,"2,039,198","1,428,471","12,389",NDA,"3,480,058"
Egg Harbor City,Atlantic,2020,ACE,"18,141,195","14,655,584","4,073,900","394,263","37,264,942",SJG,"1,949,871","1,370,751","9,510",NDA,"3,330,133"
Egg Harbor City,Atlantic,2021,ACE,"18,733,831","14,358,313","4,152,134","395,411","37,639,689",SJG,"2,134,693","1,513,256","9,198",NDA,"3,657,147"
Egg Harbor City,Atlantic,2022,ACE,"18,551,160","14,468,780","3,826,949","397,742","37,244,631",SJG,"2,177,474","1,567,238","6,767",NDA,"3,751,478"
Egg Harbor Township,Atlantic,2016,ACE,"122,071,872","115,324,237","2,147,646","891,259","240,435,014",SJG,"19,588,553","58,503,291","1,592,267",NDA,"79,684,112"
Egg Harbor Township,Atlantic,2017,ACE,"113,522,402","114,691,410","3,890,139","932,015","233,035,966",SJG,"20,358,294","68,178,724","1,902,259",NDA,"90,439,277"
Egg Harbor Township,Atlantic,2018,ACE,"120,115,864","119,933,448","1,351,279","1,013,386","242,413,977",SJG,"24,182,805","75,256,571","1,885,807",NDA,"101,325,182"
Egg Harbor Township,Atlantic,2019,ACE,"113,667,220","115,742,230","1,264,444","947,018","231,620,912",SJG,"22,324,879","68,090,979","1,503,380",NDA,"91,919,238"
Egg Harbor Township,Atlantic,2020,ACE,"114,263,278","106,158,787","1,012,234","952,412","222,386,711",SJG,"21,141,120","62,384,381","1,322,542",NDA,"84,848,043"
Egg Harbor Township,Atlantic,2021,ACE,"116,807,461","112,064,985","2,305,537","950,492","232,128,475",SJG,"22,477,452","71,003,810","1,791,036",NDA,"95,272,298"
Egg Harbor Township,Atlantic,2022,ACE,"115,272,317","122,231,326","4,639,274","954,205","243,097,122",SJG,"22,805,238","74,860,548","1,246,930",NDA,"98,912,715"
