Year,County,Low Income,Moderate Income,High Income,Very High Income,Total Income
2019,Warren,12253.00,13623.00,7722.00,8799.00,42397.00
2020,Atlantic,41804.50,31590.50,17693.00,16049.00,107137.00
2020,Bergen,79538.00,81858.50,66622.00,119863.00,347881.50
2020,Burlington,41829.00,52124.00,34417.50,44596.00,172966.50
2020,Camden,64796.50,54836.00,37138.00,37698.50,194469.00
2020,Cape May,14956.50,14077.50,7479.50,8386.00,44899.50
2020,Cumberland,22021.50,16144.50,9242.00,5213.50,52621.50
2020,Essex,121025.50,82182.50,40966.00,65040.50,309214.50
2020,Gloucester,29121.00,30621.00,21976.50,27885.00,109603.50
2020,Hudson,93833.00,72236.50,45927.00,67335.50,279332.00
2020,Hunterdon,9086.50,11694.50,9792.00,19023.50,49596.50
2020,Mercer,41985.50,36719.00,24558.00,34148.00,137410.50
2020,Middlesex,77251.50,75491.00,60925.50,83200.50,296868.50
2020,Monmouth,60162.00,55364.50,45649.00,84382.00,245557.50
2020,Morris,36314.50,43491.00,34733.50,74327.00,188866.00
2020,Ocean,74750.50,72045.50,42129.50,44805.00,233730.50
2020,Passaic,58139.50,48823.50,29577.00,36021.00,172561.00
2020,Salem,8875.00,7648.00,4165.00,4000.50,24688.50
2020,Somerset,23068.00,31032.50,22825.50,49846.50,126772.50
2020,Sussex,11090.00,16879.00,12351.50,16112.50,56433.00
2020,Union,57925.50,54938.50,32612.50,51643.50,197120.00
2020,Warren,13791.00,12723.00,8806.00,9055.00,44375.00
2021,Atlantic,42491.00,33809.00,18911.00,17088.00,112299.00
2021,Bergen,81949.00,83117.00,66097.00,120867.00,352030.00
2021,Burlington,42133.00,50270.00,35321.00,48135.00,175859.00
2021,Camden,64745.00,56531.00,39361.00,40521.00,201158.00
2021,Cape May,15147.00,16569.00,8165.00,8979.00,48860.00
2021,Cumberland,22666.00,15484.00,9841.00,5892.00,53883.00
2021,Essex,126059.00,84420.00,42013.00,69961.00,322453.00
2021,Gloucester,28323.00,30607.00,22811.00,30761.00,112502.00
2021,Hudson,97708.00,73633.00,47223.00,73436.00,292000.00
2021,Hunterdon,9249.00,11846.00,10126.00,20071.00,51292.00
2021,Mercer,41816.00,38526.00,26636.00,36992.00,143970.00
2021,Middlesex,79335.00,75345.00,65003.00,88148.00,307831.00
