Municipality,County,Muni/County,Year,Electric Utility,Residential Electricity,Commercial Electricity,Industrial Electricity,Street Lighting Electricity,Total Electricity (kWh),Natural Gas Utility,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Street Lighting Natural Gas,Total Natural Gas (Therms)
Dumont Boro,Bergen,Dumont Boro Bergen,2022,PSEG,"47,818,817","14,142,709","1,163,424","756,965","63,881,915",PSEG,"5,228,058","1,490,728","20,288",NDA,"6,739,074"
East Rutherford Boro,Bergen,East Rutherford Boro Bergen,2022,PSEG,"27,245,414","255,113,088","8,680,169","869,464","291,908,135",PSEG,"2,139,755","5,216,370","365,466",NDA,"7,721,591"
Edgewater Boro,Bergen,Edgewater Boro Bergen,2022,PSEG,"48,550,055","66,597,041","1,894,546","735,711","117,777,353",PSEG,"1,887,320","2,921,343","69,040",NDA,"4,877,702"
Elmwood Park Boro,Bergen,Elmwood Park Boro Bergen,2022,PSEG,"51,102,702","58,019,901","99,851,578","1,287,578","210,261,759",PSEG,"5,395,600","10,374,861","228,172",NDA,"15,998,634"
Emerson Boro,Bergen,Emerson Boro Bergen,2022,PSEG,"24,335,591","16,874,490","170,727","488,824","41,869,632",PSEG,"2,754,056","667,790","16,632",NDA,"3,438,478"
Englewood City,Bergen,Englewood City Bergen,2022,PSEG/ACE,"90,335,054","132,130,400","7,026,036","3,260,394","232,751,884",PSEG,"9,102,378","7,994,627","604,666",NDA,"17,701,672"
Englewood Cliffs Boro,Bergen,Englewood Cliffs Boro Bergen,2022,PSEG,"25,819,852","68,117,560","799,745","625,146","95,362,303",PSEG,"3,543,843","1,297,340","22,399",NDA,"4,863,583"
Fair Lawn Boro,Bergen,Fair Lawn Boro Bergen,2022,PSEG,"95,310,590","80,662,118","19,378,151","1,458,458","196,809,317",PSEG,"10,981,622","3,774,426","1,748,842",NDA,"16,504,890"
Fairview Boro,Bergen,Fairview Boro Bergen,2022,PSEG,"28,725,276","25,661,720","4,312,099","1,007,613","59,706,708",PSEG,"2,982,110","2,004,352","152,055",NDA,"5,138,517"
Fort Lee Boro,Bergen,Fort Lee Boro Bergen,2022,PSEG,"98,402,112","171,104,288","7,335,313","1,625,250","278,466,963",PSEG,"5,992,174","10,296,930","124,075",NDA,"16,413,179"
Franklin Lakes Boro,Bergen,Franklin Lakes Boro Bergen,2022,RECO/PSEG,"22,760",NDA,NDA,NDA,"22,760",PSEG,"8,739,385","1,638,881","9,117",NDA,"10,387,383"
Garfield City,Bergen,Garfield City Bergen,2022,PSEG,"66,063,694","44,537,705","15,828,869","1,430,387","127,860,655",PSEG,"7,985,606","2,966,563","210,083",NDA,"11,162,252"
Glen Rock Boro,Bergen,Glen Rock Boro Bergen,2022,PSEG,"40,983,013","21,337,302","1,263,912","757,168","64,341,395",PSEG,"5,093,265","1,054,448","22,347",NDA,"6,170,059"
Hackensack City,Bergen,Hackensack City Bergen,2022,PSEG,"121,156,270","313,462,012","4,347,897","3,000,697","441,966,876",PSEG,"6,100,376","18,214,982","260,479",NDA,"24,575,837"
Harrington Park Boro,Bergen,Harrington Park Boro Bergen,2022,RECO,NDA,NDA,NDA,NDA,NDA,PSEG,"2,217,127","148,397","3,272",NDA,"2,368,796"
Hasbrouck Heights Boro,Bergen,Hasbrouck Heights Boro Bergen,2022,PSEG,"34,912,870","27,240,899","530,398","1,781,542","64,465,709",PSEG,"3,716,879","1,535,946","23,936",NDA,"5,276,761"
Haworth Boro,Bergen,Haworth Boro Bergen,2022,RECO/PSEG,"9,176,315","43,409,842","362,692","189,377","53,138,226",PSEG,"1,815,355","2,416,927","2,262",NDA,"4,234,544"
Hillsdale Boro,Bergen,Hillsdale Boro Bergen,2022,PSEG,"35,723,025","18,503,493","40,400","464,457","54,731,375",PSEG,"4,281,664","887,547","2,662",NDA,"5,171,872"
Ho-ho-kus Boro,Bergen,Ho-ho-kus Boro Bergen,2022,PSEG,"19,932,236","6,407,671","313,233","245,619","26,898,759",PSEG,"2,408,265","348,753","2,471",NDA,"2,759,490"
Leonia Boro,Bergen,Leonia Boro Bergen,2022,PSEG,"23,929,221","18,898,473","23,020","606,395","43,457,109",PSEG,"2,980,860","1,032,035","83,793",NDA,"4,096,688"
Little Ferry Boro,Bergen,Little Ferry Boro Bergen,2022,PSEG,"28,602,276","31,544,289","44,433,539","393,641","104,973,745",PSEG,"2,285,964","2,229,315","422,022",NDA,"4,937,300"
Lodi Boro,Bergen,Lodi Boro Bergen,2022,PSEG,"59,352,906","48,825,272","11,858,323","1,325,105","121,361,606",PSEG,"5,233,179","3,942,065","587,080",NDA,"9,762,324"
Lyndhurst Twp,Bergen,Lyndhurst Twp Bergen,2022,PSEG,"62,220,649","126,735,539","17,066,430","1,035,911","207,058,529",PSEG,"6,238,307","3,322,499","1,451,196",NDA,"11,012,002"
Mahwah Twp,Bergen,Mahwah Twp Bergen,2022,RECO/PSEG,NDA,NDA,NDA,NDA,NDA,PSEG,"10,822,033","5,742,643","141,989",NDA,"16,706,664"
Maywood Boro,Bergen,Maywood Boro Bergen,2022,PSEG,"26,592,980","24,026,531","4,071,161","598,669","55,289,341",PSEG,"2,857,153","1,243,036","1,738,501",NDA,"5,838,690"
Midland Park Boro,Bergen,Midland Park Boro Bergen,2022,PSEG,"22,016,258","16,943,660","783,658","562,930","40,306,506",PSEG,"2,714,527","997,104","24,506",NDA,"3,736,137"
Montvale Boro,Bergen,Montvale Boro Bergen,2022,RECO/PSEG,"586,294","272,881",NDA,"20,604","879,779",PSEG,"3,900,699","2,940,302","50,398",NDA,"6,891,399"
Moonachie Boro,Bergen,Moonachie Boro Bergen,2022,PSEG,"8,374,440","40,811,038","22,434,193","254,440","71,874,111",PSEG,"755,396","2,399,673","1,443,037",NDA,"4,598,106"
New Milford Boro,Bergen,New Milford Boro Bergen,2022,PSEG,"46,902,544","15,539,184","18,274","610,543","63,070,545",PSEG,"4,537,907","2,422,240","-4,786",NDA,"6,955,361"
North Arlington Boro,Bergen,North Arlington Boro Bergen,2022,PSEG,"39,006,172","22,614,820","255,824","1,045,300","62,922,116",PSEG,"4,310,600","2,313,527","47,310",NDA,"6,671,437"
Northvale Boro,Bergen,Northvale Boro Bergen,2022,RECO,NDA,NDA,NDA,NDA,NDA,PSEG,"1,795,017","1,372,524","207,503",NDA,"3,375,044"
Norwood Boro,Bergen,Norwood Boro Bergen,2022,RECO,NDA,NDA,NDA,NDA,NDA,PSEG,"2,667,233","729,667","71,684",NDA,"3,468,583"
Oakland Boro,Bergen,Oakland Boro Bergen,2022,RECO/PSEG,"119,873","13,287",NDA,"1,752","134,912",PSEG,"5,156,507","2,342,598","114,200",NDA,"7,613,305"
Old Tappan Boro,Bergen,Old Tappan Boro Bergen,2022,RECO/PSEG,"8,516,168","32,194",NDA,"66,866","8,615,228",PSEG,"3,412,631","444,463","1,799",NDA,"3,858,893"
Oradell Boro,Bergen,Oradell Boro Bergen,2022,PSEG,"29,013,365","16,921,766","375,844","688,815","46,999,790",PSEG,"3,505,623","793,973","1,199",NDA,"4,300,795"
Palisades Park Boro,Bergen,Palisades Park Boro Bergen,2022,PSEG,"47,365,774","34,397,537","3,880,039","611,028","86,254,378",PSEG,"4,531,665","2,931,781","324,002",NDA,"7,787,448"
Paramus Boro,Bergen,Paramus Boro Bergen,2022,PSEG,"87,223,960","333,692,942","3,740,249","2,954,669","427,611,820",PSEG,"10,426,716","8,527,190","82,731",NDA,"19,036,636"
Park Ridge Boro,Bergen,Park Ridge Boro Bergen,2022,MEU/PSEG,"5,360",NDA,NDA,NDA,"5,360",PSEG,"3,813,869","868,435","31,142",NDA,"4,713,445"
Ramsey Boro,Bergen,Ramsey Boro Bergen,2022,RECO,NDA,NDA,NDA,NDA,NDA,PSEG,"6,552,190","2,968,758","209,506",NDA,"9,730,455"
Ridgefield Boro,Bergen,Ridgefield Boro Bergen,2022,PSEG,"27,688,660","56,349,895","22,498,269","673,904","107,210,728",PSEG,"3,423,646","4,398,932","157,143,369",NDA,"164,965,947"
Ridgefield Park Village,Bergen,Ridgefield Park Village Bergen,2022,PSEG,"30,977,413","61,904,339","1,307,954","497,897","94,687,603",PSEG,"3,292,511","1,899,787","86,429",NDA,"5,278,726"
Ridgewood Village,Bergen,Ridgewood Village Bergen,2022,PSEG,"92,998,786","83,239,246","1,502,414","1,469,163","179,209,609",PSEG,"11,214,985","3,706,605","49,501",NDA,"14,971,092"
River Edge Boro,Bergen,River Edge Boro Bergen,2022,PSEG,"33,293,984","17,040,552","129,212","573,705","51,037,453",PSEG,"3,646,442","1,386,561","2,299",NDA,"5,035,302"
River Vale Twp,Bergen,River Vale Twp Bergen,2022,RECO/PSEG,"37,295,506","13,176,482",NDA,"380,212","50,852,200",PSEG,"4,480,884","534,743",NDA,NDA,"5,015,628"
Rochelle Park Twp,Bergen,Rochelle Park Twp Bergen,2022,PSEG,"16,537,528","31,286,288","18,398,933","364,202","66,586,951",PSEG,"1,763,676","867,176","57,880",NDA,"2,688,733"
Rockleigh Boro,Bergen,Rockleigh Boro Bergen,2022,RECO,NDA,NDA,NDA,NDA,NDA,PSEG,"211,901","754,996","111,389",NDA,"1,078,286"
Rutherford Boro,Bergen,Rutherford Boro Bergen,2022,PSEG,"50,959,881","96,151,043","7,445,830","1,027,122","155,583,876",PSEG,"5,491,079","2,572,053","277,587",NDA,"8,340,719"
Saddle Brook Twp,Bergen,Saddle Brook Twp Bergen,2022,PSEG,"42,420,860","81,814,964","11,383,439","830,808","136,450,071",PSEG,"4,350,169","2,872,932","525,909",NDA,"7,749,010"
