Municipality,County,Muni/County,Year,Electric Utility,Residential Electricity,Commercial Electricity,Industrial Electricity,Street Lighting Electricity,Total Electricity (kWh),Natural Gas Utility,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Street Lighting Natural Gas,Total Natural Gas (Therms)
Berlin Twp,Camden,Berlin Twp Camden,2022,ACE,"24,299,879","20,278,541","1,171,758","217,838","45,968,016",SJG,"2,642,824","4,550,463","10,000",NDA,"7,203,287"
Brooklawn Boro,Camden,Brooklawn Boro Camden,2022,PSEG,"5,562,256","8,712,673","14,720","194,724","14,484,373",PSEG,"484,205","366,268","3,948",NDA,"854,421"
Camden City,Camden,Camden City Camden,2022,PSEG,"171,153,874","356,580,100","96,336,345","11,169,495","635,239,814",PSEG,"15,401,113","19,765,685","15,733,034",NDA,"50,899,833"
Cherry Hill Twp,Camden,Cherry Hill Twp Camden,2022,PSEG,"256,290,013","369,146,680","20,101,062","3,148,575","648,686,330",PSEG/SJG,"23,465,396","13,740,658","2,065,615",NDA,"39,271,669"
Chesilhurst Boro,Camden,Chesilhurst Boro Camden,2022,ACE,"5,784,926","1,486,790","4,078","63,408","7,339,202",SJG,"648,969","164,871",NDA,NDA,"813,840"
Clementon Boro,Camden,Clementon Boro Camden,2022,ACE,"47,267,361","20,411,702","353,227","217,805","68,250,095",SJG,"2,114,091","634,734",NDA,NDA,"2,748,825"
Collingswood Boro,Camden,Collingswood Boro Camden,2022,PSEG,"40,260,942","30,537,383","1,809,385","561,087","73,168,797",PSEG,"3,527,914","2,081,913","51,706",NDA,"5,661,533"
Gibbsboro Boro,Camden,Gibbsboro Boro Camden,2022,ACE,"8,139,531","13,985,420","223,853","162,202","22,511,006",SJG,"1,339,743","1,413,830","2,399",NDA,"2,755,973"
Gloucester City,Camden,Gloucester City Camden,2022,PSEG,"36,583,439","40,181,265","243,619","1,152,573","78,160,896",PSEG,"2,935,951","1,636,432","30,497",NDA,"4,602,880"
Gloucester Twp,Camden,Gloucester Twp Camden,2022,PSEG/ACE,"167,635,793","73,865,226","6,500,050","2,641,136","250,642,205",SJG,"27,823,458","41,910,829","150,640",NDA,"69,884,927"
Haddon Heights Boro,Camden,Haddon Heights Boro Camden,2022,PSEG,"26,893,287","14,650,861","168,327","234,271","41,946,746",PSEG,"2,437,646","712,537","8,313",NDA,"3,158,496"
Haddon Twp,Camden,Haddon Twp Camden,2022,PSEG,"48,139,331","50,145,987","1,205,151","1,063,057","100,553,526",PSEG,"4,017,905","2,323,857","20,065",NDA,"6,361,827"
Haddonfield Boro,Camden,Haddonfield Boro Camden,2022,PSEG,"51,083,854","20,692,872","269,946","576,841","72,623,513",PSEG,"4,475,621","988,950","7,005",NDA,"5,471,576"
Hi-nella Boro,Camden,Hi-nella Boro Camden,2022,PSEG/ACE,"2,495,280","940,830",NDA,"27,531","3,463,641",PSEG/SJG,"176,409","2,403,045",NDA,NDA,"2,579,454"
Laurel Springs Boro,Camden,Laurel Springs Boro Camden,2022,ACE,"11,403,396","7,586,287","2,260,808","80,935","21,331,426",SJG,"1,229,180","613,261",NDA,NDA,"1,842,440"
Lawnside Boro,Camden,Lawnside Boro Camden,2022,PSEG,"10,849,674","15,368,379",732,"373,341","26,592,126",PSEG/SJG,"1,194,852","1,474,860",NDA,NDA,"2,669,712"
Lindenwold Boro,Camden,Lindenwold Boro Camden,2022,ACE,"53,710,932","22,405,285","295,279","326,672","76,738,168",SJG,"5,311,526","31,144,037","19,755",NDA,"36,475,318"
Magnolia Boro,Camden,Magnolia Boro Camden,2022,PSEG,"13,365,478","8,606,875","1,562,507","224,468","23,759,328",SJG,"2,671,914","4,357,277","11,822",NDA,"7,041,013"
Merchantville Boro,Camden,Merchantville Boro Camden,2022,PSEG,"12,910,689","4,263,855","1,817,906","263,215","19,255,665",PSEG,"1,208,839","462,063","1,805",NDA,"1,672,707"
Mount Ephraim Boro,Camden,Mount Ephraim Boro Camden,2022,PSEG,"14,868,684","7,618,443","684,162","246,313","23,417,602",PSEG,"1,212,752","341,791","2,092",NDA,"1,556,635"
Oaklyn Boro,Camden,Oaklyn Boro Camden,2022,PSEG,"13,318,904","4,342,024","13,434","216,223","17,890,585",PSEG,"1,093,026","323,833","2,500",NDA,"1,419,359"
Pennsauken Twp,Camden,Pennsauken Twp Camden,2022,PSEG,"102,600,918","194,827,533","51,389,429","3,170,149","351,988,029",PSEG,"9,417,474","9,283,403","2,163,907",NDA,"20,864,784"
Pine Hill Boro,Camden,Pine Hill Boro Camden,2022,ACE,"31,410,222","9,907,419","57,346","244,983","41,619,970",SJG,"4,172,337","1,178,859",NDA,NDA,"5,351,195"
Pine Valley Boro,Camden,Pine Valley Boro (combined with Pine Hill Borough) Camden,2022,ACE,"199,286","1,670,049","3,499",NDA,"1,872,834",SJG,"14,449","5,773",NDA,NDA,"20,223"
Runnemede Boro,Camden,Runnemede Boro Camden,2022,PSEG,"26,485,493","19,776,772","753,754","445,415","47,461,434",PSEG/SJG,"3,621,910","10,745,744","270,579",NDA,"14,638,233"
Somerdale Boro,Camden,Somerdale Boro Camden,2022,PSEG/ACE,"16,802,729","14,186,086","54,181","310,364","31,353,360",SJG,"3,008,649","5,009,532","25,100",NDA,"8,043,281"
Stratford Boro,Camden,Stratford Boro Camden,2022,ACE,"20,875,607","25,966,514","1,978,520","81,840","48,902,481",SJG,"3,230,499","2,125,853",NDA,NDA,"5,356,353"
Tavistock Boro,Camden,Tavistock Boro Camden,2022,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA
Voorhees Twp,Camden,Voorhees Twp Camden,2022,PSEG/ACE,"94,713,752","163,225,256","2,890,804","1,212,239","262,042,051",SJG,"15,296,077","7,496,886","18,435",NDA,"22,811,398"
Waterford Twp,Camden,Waterford Twp Camden,2022,ACE,"49,386,035","18,525,698","738,413","334,475","68,984,621",SJG,"5,632,199","2,322,695",NDA,NDA,"7,954,894"
Winslow Twp,Camden,Winslow Twp Camden,2022,ACE,"135,413,692","103,041,717","14,643,892","1,257,464","254,356,765",SJG,"18,101,734","10,758,340","1,109,536",NDA,"29,969,609"
Woodlynne Boro,Camden,Woodlynne Boro Camden,2022,PSEG,"7,352,268","1,787,880",37,"193,757","9,333,942",PSEG,"720,503","121,671",603,NDA,"842,777"
Avalon Boro,Cape May,Avalon Boro Cape May,2022,ACE,"48,587,363","13,447,521",NDA,"399,233","62,434,117",SJG,"6,180,290","1,661,262",NDA,NDA,"7,841,552"
Cape May City,Cape May,Cape May City Cape May,2022,ACE,"33,984,313","47,295,909","254,311","394,527","81,929,060",SJG,"3,487,315","14,834,209",NDA,NDA,"18,321,524"
Cape May Point Boro,Cape May,Cape May Point Boro Cape May,2022,ACE,"4,302,444","1,685,637",NDA,"36,678","6,024,759",SJG,"360,072","19,290",NDA,NDA,"379,362"
Dennis Twp,Cape May,Dennis Twp Cape May,2022,ACE,"29,605,851","21,597,592","40,773","52,728","51,296,944",SJG,"4,213,671","864,409","27,183",NDA,"5,105,263"
Lower Twp,Cape May,Lower Twp Cape May,2022,ACE,"89,771,942","42,374,402","8,910,096","1,041,609","142,098,049",SJG,"10,749,547","5,457,571","1,638",NDA,"16,208,757"
Middle Twp,Cape May,Middle Twp Cape May,2022,ACE,"82,749,189","105,864,817","766,708","916,754","190,297,468",SJG,"9,102,823","5,925,833","6,716",NDA,"15,035,371"
North Wildwood City,Cape May,North Wildwood City Cape May,2022,ACE,"37,787,956","22,427,255","2,209","325,407","60,542,827",SJG,"4,274,371","1,422,345",NDA,NDA,"5,696,716"
Ocean City,Cape May,Ocean City Cape May,2022,ACE,"119,598,842","51,383,093","86,080","1,177,063","172,245,078",SJG,"15,033,366","3,671,772","31,126",NDA,"18,736,264"
Sea Isle City,Cape May,Sea Isle City Cape May,2022,ACE,"45,573,248","13,634,508",NDA,"294,220","59,501,976",SJG,"4,206,647","648,855",NDA,NDA,"4,855,502"
Stone Harbor Boro,Cape May,Stone Harbor Boro Cape May,2022,ACE,"24,436,699","9,487,158",NDA,"347,356","34,271,213",SJG,"2,963,143","541,979",NDA,NDA,"3,505,122"
Upper Twp,Cape May,Upper Twp Cape May,2022,ACE,"53,452,659","27,320,132","1,543,554","546,277","82,862,622",SJG,"4,321,936","2,484,691","6,699",NDA,"6,813,327"
West Cape May Boro,Cape May,West Cape May Boro Cape May,2022,ACE,"7,540,356","3,822,148",NDA,"63,122","11,425,626",SJG,"1,104,085","310,549",NDA,NDA,"1,414,634"
West Wildwood Boro,Cape May,West Wildwood Boro Cape May,2022,ACE,"3,869,364","438,452",NDA,"66,320","4,374,136",SJG,"532,540","23,758",NDA,NDA,"556,298"
Wildwood City,Cape May,Wildwood City Cape May,2022,ACE,"37,145,765","52,416,798","4,979","837,366","90,404,908",SJG,"3,291,866","3,072,481","2,450",NDA,"6,366,797"
Wildwood Crest Boro,Cape May,Wildwood Crest Boro Cape May,2022,ACE,"30,089,969","20,410,603",NDA,"525,536","51,026,108",SJG,"3,772,625","2,125,747",NDA,NDA,"5,898,372"
Woodbine Boro,Cape May,Woodbine Boro Cape May,2022,ACE,"10,486,815","13,677,843","1,624,516","183,537","25,972,711",SJG,"506,173","1,048,517","6,422",NDA,"1,561,112"
Bridgeton City,Cumberland,Bridgeton City Cumberland,2022,ACE,"115,489,339","151,021,627","72,097,533","1,020,555","339,629,054",SJG,"6,602,081","10,497,346","42,929,562",NDA,"60,028,989"
Commercial Twp,Cumberland,Commercial Twp Cumberland,2022,ACE,"18,746,555","8,929,681","5,855,012","190,511","33,721,759",SJG,"1,759,329","237,901","1,285,023",NDA,"3,282,252"
Deerfield Twp,Cumberland,Deerfield Twp Cumberland,2022,ACE,"9,160,767","9,222,148","3,967,284","84,787","22,434,986",SJG,"908,504","746,726","119,599",NDA,"1,774,829"
Downe Twp,Cumberland,Downe Twp Cumberland,2022,ACE,"5,807,467","12,601,786","1,549,771","150,493","20,109,517",SJG,"400,073","39,280","1,447,380",NDA,"1,886,733"
Fairfield Twp,Cumberland,Fairfield Twp (Cumberland) Cumberland,2022,ACE,"3,843,166","10,426,764","446,214","144,146","14,860,290",SJG,"952,906","991,942",NDA,NDA,"1,944,848"
Greenwich Twp,Cumberland,Greenwich Twp (Cumberland) Cumberland,2022,ACE,"3,320,935","546,787",NDA,"32,282","3,900,004",SJG,"1,067,993","712,821","37,756",NDA,"1,818,570"
Hopewell Twp,Cumberland,Hopewell Twp (Cumberland) Cumberland,2022,ACE,"261,600","984,204",NDA,"40,666","1,286,470",SJG,"686,480","350,843",NDA,NDA,"1,037,324"
Lawrence Twp,Cumberland,Lawrence Twp (Cumberland) Cumberland,2022,ACE,"9,460,694","7,652,002","65,560","117,050","17,295,306",SJG,"554,064","266,104",NDA,NDA,"820,168"
Maurice River Twp,Cumberland,Maurice River Twp Cumberland,2022,ACE,"9,337,331","22,032,010","3,048,438","160,177","34,577,956",SJG,"679,846","14,827,489","5,563",NDA,"15,512,898"
Millville City,Cumberland,Millville City Cumberland,2022,ACE,"98,116,087","97,192,339","129,759,862","1,855,497","326,923,785",SJG,"11,901,684","8,864,669","28,596,279",NDA,"49,362,633"
Shiloh Boro,Cumberland,Shiloh Boro Cumberland,2022,ACE,"1,828,723","621,648",NDA,"17,160","2,467,531",SJG,"103,428","19,060",NDA,NDA,"122,488"
Stow Creek Twp,Cumberland,Stow Creek Twp Cumberland,2022,ACE,"3,642,077","797,351",NDA,"4,689","4,444,117",SJG,"31,630","10,904",NDA,NDA,"42,534"
Upper Deerfield Twp,Cumberland,Upper Deerfield Twp Cumberland,2022,ACE,"11,899,259","9,741,906","20,644,252","274,785","42,560,202",SJG,"1,977,364","1,480,287","2,100,945",NDA,"5,558,596"
Vineland City,Cumberland,Vineland City Cumberland,2022,MEU/ACE,"6,634,811","6,759,613","191,106","3,174","13,588,704",SJG,"26,073,154","27,784,278","37,392,423",NDA,"91,249,855"
Belleville Twp,Essex,Belleville Twp Essex,2022,PSEG,"87,154,940","72,239,099","3,783,169","2,291,945","165,469,153",PSEG,"9,470,816","5,684,910","219,014",NDA,"15,374,739"
Bloomfield Twp,Essex,Bloomfield Twp Essex,2022,PSEG,"123,931,852","97,005,931","4,140,703","3,536,382","228,614,868",PSEG,"13,555,341","6,636,511","169,344","2,535","20,363,731"
Caldwell Boro,Essex,Caldwell Boro Essex,2022,PSEG/ACE,"21,755,129","22,859,537","91,530","612,823","45,319,019",PSEG,"2,438,576","1,979,377","9,705",NDA,"4,427,658"
Cedar Grove Twp,Essex,Cedar Grove Twp Essex,2022,PSEG,"45,700,725","36,648,096","4,580,219","1,159,209","88,088,249",PSEG,"4,888,742","2,782,770","130,658",NDA,"7,802,171"
City of Orange Twp,Essex,City of Orange Twp Essex,2022,PSEG,"63,352,338","64,367,042","2,525,361","3,795,740","134,040,481",PSEG,"6,942,644","5,974,866","178,654",NDA,"13,096,163"
East Orange City,Essex,East Orange City Essex,2022,PSEG,"138,269,093","140,558,279","844,539","4,685,431","284,357,342",PSEG,"15,118,830","14,352,563","414,250","4,778","29,890,421"
Essex Fells Boro,Essex,Essex Fells Boro Essex,2022,PSEG,"12,759,195","1,943,018","1,652,756","177,486","16,532,455",PSEG,"1,660,882","113,234",NDA,"2,500","1,776,616"
Fairfield Twp,Essex,Fairfield Twp (Essex) Essex,2022,PSEG,"31,297,204","137,414,602","27,876,512","947,599","197,535,917",PSEG,"3,507,169","6,759,174","756,709",NDA,"11,023,052"
Glen Ridge Boro,Essex,Glen Ridge Boro Essex,2022,PSEG,"26,975,089","29,706,739",NDA,"274,882","56,956,710",PSEG,"3,376,003","1,351,481",929,"188,352","4,916,765"
Irvington Twp,Essex,Irvington Twp Essex,2022,PSEG,"107,328,150","90,312,648","6,731,537","4,332,505","208,704,840",PSEG,"14,149,496","8,650,569","687,223",NDA,"23,487,289"
Livingston Twp,Essex,Livingston Twp Essex,2022,PSEG/JCPL,"118,342,260","159,467,698","10,207,108","1,637,995","289,655,061",PSEG,"13,974,095","5,022,732","105,520",NDA,"19,102,347"
Maplewood Twp,Essex,Maplewood Twp Essex,2022,PSEG,"71,370,602","49,140,937","955,135","1,701,213","123,167,887",PSEG,"9,162,897","4,173,036","66,134",NDA,"13,402,067"
Millburn Twp,Essex,Millburn Twp Essex,2022,PSEG/JCPL,"99,210,784","104,131,856","18,509,574","14,654","221,866,868",PSEG,"10,825,788","2,969,248","34,893",NDA,"13,829,928"
Montclair Twp,Essex,Montclair Twp Essex,2022,PSEG,"125,575,867","86,350,713","4,219,598","3,004,543","219,150,721",PSEG,"15,333,229","6,526,535","75,029",756,"21,935,549"
Newark City,Essex,Newark City Essex,2022,PSEG,"531,561,042","1,909,614,975","221,063,204","40,492,552","2,702,731,773",PSEG,"61,606,762","93,104,832","19,413,252",NDA,"174,124,846"
North Caldwell Boro,Essex,North Caldwell Boro Essex,2022,PSEG,"34,069,901","7,686,536","72,905","391,898","42,221,240",PSEG,"4,093,771","369,759","3,593",NDA,"4,467,123"
Nutley Twp,Essex,Nutley Twp Essex,2022,PSEG,"85,707,287","45,692,350","8,860,273","1,805,556","142,065,466",PSEG,"9,155,643","3,360,965","6,871,441",NDA,"19,388,049"
Roseland Boro,Essex,Roseland Boro Essex,2022,PSEG,"23,361,180","53,732,742","5,041,280","810,137","82,945,339",PSEG,"2,615,002","1,594,338","358,804","4,216","4,572,360"
South Orange Village Twp,Essex,South Orange Village Twp Essex,2022,PSEG,"57,995,851","56,054,239","2,527,349","1,423,601","118,001,040",PSEG,"7,758,358","3,157,619","15,963","408,085","11,340,024"
Verona Twp,Essex,Verona Twp Essex,2022,PSEG,"42,811,980","28,551,105","739,994","970,739","73,073,818",PSEG,"5,015,411","2,263,303","69,553","1,023","7,349,289"
West Caldwell Twp,Essex,West Caldwell Twp Essex,2022,PSEG,"37,195,156","78,369,316","30,849,939","739,444","147,153,855",PSEG,"4,390,274","3,727,011","1,795,225",281,"9,912,790"
West Orange Twp,Essex,West Orange Twp Essex,2022,PSEG,"142,684,420","143,459,687","4,596,523","3,316,178","294,056,808",PSEG,"17,439,903","6,358,739","89,468","26,926","23,915,035"
Clayton Boro,Gloucester,Clayton Boro Gloucester,2022,ACE,"27,526,323","11,959,332","13,608,413","175,347","53,269,415",SJG,"3,950,943","1,538,896","933,180",NDA,"6,423,020"
Deptford Twp,Gloucester,Deptford Twp Gloucester,2022,PSEG/ACE,"86,276,256","84,416,815","732,910","1,641,413","173,067,394",PSEG/SJG,"11,981,421","6,781,991","90,185",NDA,"18,853,597"
East Greenwich Twp,Gloucester,East Greenwich Twp Gloucester,2022,ACE,"40,337,174","17,931,315","21,576,340","374,720","80,219,549",SJG,"5,340,632","1,423,571","28,940,811",NDA,"35,705,014"
Elk Twp,Gloucester,Elk Twp Gloucester,2022,ACE,"7,301,551","2,533,658","232,800","79,274","10,147,283",SJG,"1,297,993","1,312,342","11,444",NDA,"2,621,779"
Franklin Twp,Gloucester,Franklin Twp (Gloucester) Gloucester,2022,ACE,"53,306,856","17,766,810","2,396,922","390,549","73,861,137",SJG,"5,474,348","1,662,961",NDA,NDA,"7,137,309"
Glassboro Boro,Gloucester,Glassboro Boro Gloucester,2022,ACE,"57,376,588","110,907,634","602,970","758,584","169,645,776",SJG,"8,288,198","18,110,669","638,893",NDA,"27,037,760"
Greenwich Twp,Gloucester,Greenwich Twp (Gloucester) Gloucester,2022,ACE,"16,768,711","13,380,660","7,278,582","290,922","37,718,875",SJG,"1,918,096","753,949","37,756",NDA,"2,709,801"
Harrison Twp,Gloucester,Harrison Twp Gloucester,2022,ACE,"64,687,932","39,876,921","2,085,350","404,046","107,054,249",SJG,"8,543,689","4,042,123","1,423,206",NDA,"14,009,019"
Logan Twp,Gloucester,Logan Twp Gloucester,2022,ACE,"3,369,366","95,094,107","28,918,714","301,035","127,683,222",SJG,"1,938,455","9,613,900","17,897,795",NDA,"29,450,150"
Mantua Twp,Gloucester,Mantua Twp Gloucester,2022,ACE,"113,723,406","59,126,360","2,370,020","392,165","175,611,951",SJG,"8,312,549","1,700,050","124,719",NDA,"10,137,319"
Monroe Twp,Gloucester,Monroe Twp (Gloucester) Gloucester,2022,ACE,"124,756,171","65,412,561","1,728,279","1,086,861","192,983,872",SJG,"18,038,543","12,903,037","1,488,276",NDA,"32,429,856"
National Park Boro,Gloucester,National Park Boro Gloucester,2022,PSEG,"10,210,099","2,073,901","52,586","155,610","12,492,196",PSEG,"643,763","84,721",209,NDA,"728,693"
Newfield Boro,Gloucester,Newfield Boro Gloucester,2022,ACE,"15,972,751","9,836,160","87,646","66,108","25,962,665",SJG,"1,443,688","279,062","19,339",NDA,"1,742,089"
Paulsboro Boro,Gloucester,Paulsboro Boro Gloucester,2022,ACE,"21,711,193","25,755,195","46,621,206","301,942","94,389,536",SJG,"2,203,700","3,200,909","43,895,884",NDA,"49,300,492"
Pitman Boro,Gloucester,Pitman Boro Gloucester,2022,ACE,"30,842,636","10,938,878","4,614,710","435,481","46,831,705",SJG,"4,735,899","2,633,203","31,173",NDA,"7,400,275"
South Harrison Twp,Gloucester,South Harrison Twp Gloucester,2022,ACE,"2,605,374","2,441,963",NDA,"48,234","5,095,571",SJG,"442,221","65,937",NDA,NDA,"508,158"
Swedesboro Boro,Gloucester,Swedesboro Boro Gloucester,2022,ACE,"69,201,669","176,250,666","42,694,322","449,534","288,596,191",SJG,"1,164,132","690,140","449,049",NDA,"2,303,321"
Washington Twp,Gloucester,Washington Twp (Gloucester) Gloucester,2022,PSEG/ACE,"106,518,504","138,906,184","296,754","1,457,808","247,179,250",SJG,"23,981,200","16,654,915","1,345,990",NDA,"41,982,105"
Wenonah Boro,Gloucester,Wenonah Boro Gloucester,2022,ACE,"21,584,461","4,745,663","67,190","75,850","26,473,164",SJG,"1,817,791","129,354",NDA,NDA,"1,947,145"
West Deptford Twp,Gloucester,West Deptford Twp Gloucester,2022,PSEG/ACE,"77,165,757","105,458,596","129,028,632","1,188,108","312,841,093",PSEG/SJG,"5,852,632","3,645,872","10,038,670",NDA,"19,537,174"
Westville Boro,Gloucester,Westville Boro Gloucester,2022,PSEG,"13,624,946","6,581,544","238,471","260,202","20,705,163",PSEG,"1,124,079","413,181","22,465,227",NDA,"24,002,487"
Woodbury City,Gloucester,Woodbury City Gloucester,2022,PSEG,"32,648,618","43,962,502","1,794,229","865,187","79,270,536",PSEG,"2,568,626","1,808,891","23,538",NDA,"4,401,055"
Woodbury Heights Boro,Gloucester,Woodbury Heights Boro Gloucester,2022,PSEG/ACE,"11,179,304","7,686,491","304,765","190,078","19,360,638",PSEG/SJG,"1,594,121","850,643","3,562",NDA,"2,448,326"
Woolwich Twp,Gloucester,Woolwich Twp Gloucester,2022,ACE,"63,316","266,930",NDA,NDA,"330,246",SJG,"6,467,424","1,274,502","66,763",NDA,"7,808,690"
Bayonne City,Hudson,Bayonne City Hudson,2022,PSEG,"154,579,190","175,554,765","29,141,549","5,049,854","364,325,358",PSEG,"15,942,600","9,555,870","305,135",NDA,"25,803,606"
East Newark Boro,Hudson,East Newark Boro Hudson,2022,PSEG,"4,394,549","2,942,975","21,957","268,795","7,628,276",PSEG,"531,761","239,474","3,203",NDA,"774,439"
Guttenberg Town,Hudson,Guttenberg Town Hudson,2022,PSEG,"17,468,779","31,491,772","313,895","543,793","49,818,239",PSEG,"1,401,140","1,361,803","28,071",NDA,"2,791,014"
Harrison Town,Hudson,Harrison Town Hudson,2022,PSEG,"45,850,373","63,266,884","2,326,330","1,851,546","113,295,133",PSEG,"3,258,913","2,687,171","164,245",NDA,"6,110,329"
Hoboken City,Hudson,Hoboken City Hudson,2022,PSEG,"154,575,288","224,095,505","6,427,855","3,254,292","388,352,940",PSEG,"5,261,111","10,749,788","483,849",NDA,"16,494,747"
Jersey City,Hudson,Jersey City Hudson,2022,PSEG,"665,327,038","1,309,042,125","114,807,645","22,833,590","2,112,010,398",PSEG,"45,419,693","47,922,614","2,327,565",NDA,"95,669,872"
Kearny Town,Hudson,Kearny Town Hudson,2022,PSEG,"81,975,126","294,367,671","13,195,500","3,468,155","393,006,452",PSEG,"10,520,868","9,601,565","2,983,353",NDA,"23,105,785"
North Bergen Twp,Hudson,North Bergen Twp Hudson,2022,PSEG,"119,953,635","273,814,311","10,996,172","4,996,950","409,761,068",PSEG,"10,605,740","12,628,097","599,617",NDA,"23,833,454"
Secaucus Town,Hudson,Secaucus Town Hudson,2022,PSEG,"56,735,071","772,693,617","9,189,183","2,137,386","840,755,257",PSEG,"4,678,364","12,164,414","431,948",NDA,"17,274,726"
Union City,Hudson,Union City Hudson,2022,PSEG,"102,484,624","127,403,412","4,432,018","9,344,173","243,664,227",PSEG,"8,762,769","9,976,310","503,949",NDA,"19,243,029"
Weehawken Twp,Hudson,Weehawken Twp Hudson,2022,PSEG,"50,015,237","168,773,003","11,458,192","1,394,039","231,640,471",PSEG,"2,892,551","2,965,249","124,704",NDA,"5,982,503"
West New York Town,Hudson,West New York Town Hudson,2022,PSEG,"88,732,935","96,543,582","1,600,539","3,048,979","189,926,035",PSEG,"5,604,291","9,050,068","289,375",NDA,"14,943,733"
Alexandria Twp,Hunterdon,Alexandria Twp Hunterdon,2022,JCPL,"24,376,356","4,749,070","148,200",NDA,"29,273,626",NDA,NDA,NDA,NDA,NDA,NDA
Bethlehem Twp,Hunterdon,Bethlehem Twp Hunterdon,2022,JCPL,"18,949,861","2,729,940","7,260,082",NDA,"28,939,883",ETG,"109,360",NDA,NDA,NDA,"109,360"
Bloomsbury Boro,Hunterdon,Bloomsbury Boro Hunterdon,2022,JCPL,"3,671,223","2,953,231","682,156",NDA,"7,306,610",ETG,"201,909","68,524",NDA,NDA,"270,433"
Califon Boro,Hunterdon,Califon Boro Hunterdon,2022,JCPL,"4,836,322","3,699,116","55,530",NDA,"8,590,968",ETG,"365,762","279,830",NDA,NDA,"645,592"
Clinton Town,Hunterdon,Clinton Town Hunterdon,2022,JCPL,"12,091,650","8,828,692","1,567,507",NDA,"22,487,849",ETG,"1,426,958","2,414,081",NDA,NDA,"3,841,039"
Clinton Twp,Hunterdon,Clinton Twp Hunterdon,2022,JCPL,"56,024,465","49,007,533","28,590,927",NDA,"133,622,925",ETG/PSEG,"5,123,571","1,950,950","17,804,120",NDA,"24,878,641"
Delaware Twp,Hunterdon,Delaware Twp Hunterdon,2022,JCPL,"25,768,642","4,625,027","19,177",NDA,"30,412,846",ETG,"292,968","14,419",NDA,NDA,"307,387"
East Amwell Twp,Hunterdon,East Amwell Twp Hunterdon,2022,PSEG/JCPL,"20,753,591","5,197,168","114,836","13,668","26,079,263",ETG,"492,832","316,468",NDA,NDA,"809,300"
Flemington Boro,Hunterdon,Flemington Boro Hunterdon,2022,JCPL,"18,002,070","31,067,780","657,565",NDA,"49,727,415",ETG,"1,977,356","3,194,211","5,282,641",NDA,"10,454,208"
Franklin Twp,Hunterdon,Franklin Twp (Hunterdon) Hunterdon,2022,JCPL,"17,039,189","14,525,523","22,706",NDA,"31,587,418",ETG,"94,187","389,201",NDA,NDA,"483,388"
Frenchtown Boro,Hunterdon,Frenchtown Boro Hunterdon,2022,JCPL,"6,702,438","3,794,023","450,345",NDA,"10,946,806",ETG,"387,762","179,990",NDA,NDA,"567,752"
Glen Gardner Boro,Hunterdon,Glen Gardner Boro Hunterdon,2022,JCPL,"6,530,462","1,242,158","1,288,735",NDA,"9,061,355",ETG,"750,802","62,079",NDA,NDA,"812,881"
Hampton Boro,Hunterdon,Hampton Boro Hunterdon,2022,JCPL,"6,552,509","1,965,518","1,354,829",NDA,"9,872,856",ETG,"270,800","150,904",NDA,NDA,"421,704"
High Bridge Boro,Hunterdon,High Bridge Boro Hunterdon,2022,JCPL,"16,346,397","7,842,109","4,095,552",NDA,"28,284,058",ETG,"928,102","339,029","14,062,352",NDA,"15,329,483"
Holland Twp,Hunterdon,Holland Twp Hunterdon,2022,JCPL,"24,686,725","9,323,236","4,493,702",NDA,"38,503,663",ETG,"393,294","226,072",NDA,NDA,"619,366"
Kingwood Twp,Hunterdon,Kingwood Twp Hunterdon,2022,JCPL,"19,498,017","4,321,301","5,466,950",NDA,"29,286,268",ETG,"113,965","420,729","885,911",NDA,"1,420,605"
Lambertville City,Hunterdon,Lambertville City Hunterdon,2022,JCPL,"17,451,692","8,995,762","9,626,153",NDA,"36,073,607",ETG,"2,355,660","795,632",NDA,NDA,"3,151,292"
Lebanon Boro,Hunterdon,Lebanon Boro Hunterdon,2022,JCPL,"5,826,036","7,569,915","1,335,601",NDA,"14,731,552",ETG,"755,820","1,058,545",NDA,NDA,"1,814,365"
Lebanon Twp,Hunterdon,Lebanon Twp Hunterdon,2022,JCPL,"31,162,313","10,871,130","968,833",NDA,"43,002,276",ETG,"121,088","212,671",NDA,NDA,"333,759"
Milford Boro,Hunterdon,Milford Boro Hunterdon,2022,JCPL,"6,466,602","2,302,611","440,078",NDA,"9,209,291",ETG,"35,202","9,883","1,717,966",NDA,"1,763,051"
Raritan Twp,Hunterdon,Raritan Twp Hunterdon,2022,JCPL,"90,372,586","89,913,374","64,028,338",NDA,"244,314,298",ETG,"14,301,163","6,836,133","1,192,747",NDA,"22,330,043"
Readington Twp,Hunterdon,Readington Twp Hunterdon,2022,JCPL,"74,963,198","56,825,474","11,191,444",NDA,"142,980,116",ETG/PSEG,"5,475,828","2,553,639","164,945",NDA,"8,194,411"
Stockton Boro,Hunterdon,Stockton Boro Hunterdon,2022,JCPL,"2,363,471","1,037,090","149,070",NDA,"3,549,631",ETG,"344,124","90,799",NDA,NDA,"434,923"
Tewksbury Twp,Hunterdon,Tewksbury Twp Hunterdon,2022,JCPL,"40,494,477","11,487,191","55,735",NDA,"52,037,403",PSEG,"1,901,478","324,831",NDA,NDA,"2,226,309"
