OBJECTID,Block Group identifier,Population for poverty,Population in households under 2 times poverty,Percent Low Income,Total Population,Population Not Hispanic or Latino only,Total Minority,Percent Minority,Total Households,Households with Limited English Proficiency,Percent Households with Limited English Proficiency,Overburdened Community Criteria,Block Group - Tribal,Block Group County Subdivision,County,Municipality,Municipality Code,Split Block Group,Split Municipality,GLOBALID,SHAPE_Length,SHAPE_Area
2756,3.40297E+11,1975,1597,80.86075949,1975,1975,0,0,460,0,0,Low Income,Block group,3402938550,OCEAN,Lakewood Twp,1515,Not a split block group,Not Applicable,{6497CABA-7A66-4C28-9E4D-A6494A003E6E},11958.22735,3845638.249
2757,3.40297E+11,2100,834,39.71428571,2130,1693,437,20.51643192,560,8,1.42857143,Low Income,Block group,3402938550,OCEAN,Lakewood Twp,1515,Not a split block group,Not Applicable,{EDEFC541-836D-4218-8C6E-0BA1296B8B6C},21276.11291,12340478.07
2758,3.40297E+11,1718,1202,69.96507567,1718,1088,630,36.67054715,652,0,0,Low Income,Block group,3402973125,OCEAN,Toms River Twp,1508,Not a split block group,Not Applicable,{5E0B4973-1FD0-48EA-ACF5-56E9B287E28C},9865.074549,4796736.703
2759,3.40297E+11,2400,1261,52.54166667,2422,2065,357,14.73988439,441,0,0,Low Income,Block group,3402938550,OCEAN,Lakewood Twp,1515,Not a split block group,Not Applicable,{939DF2A9-B069-45DE-A770-21EBF9C8BD04},10812.42797,4134570.214
2760,3.40297E+11,2838,1951,68.74559549,2838,1788,1050,36.99788584,680,35,5.14705882,Low Income,Block group,3402938550,OCEAN,Lakewood Twp,1515,Not a split block group,Not Applicable,{F4A974A7-0882-4D34-A37B-37209D4317BD},14444.89217,9038171.969
2761,3.40297E+11,3005,1940,64.55906822,3019,3010,9,0.29811196,359,0,0,Low Income,Block group,3402938550,OCEAN,Lakewood Twp,1515,Not a split block group,Not Applicable,{F89FDD2A-4CED-4288-AD29-6433D6B6A461},6919.435447,1790421.402
2762,3.40297E+11,7212,3748,51.96894065,7246,6149,1097,15.13938725,973,0,0,Low Income,Block group,3402938550,OCEAN,Lakewood Twp,1515,Not a split block group,Not Applicable,{8160B476-C7CA-4490-B331-D45B6F255E7E},45522.96455,84128348.66
2763,3.40297E+11,494,114,23.07692308,494,162,332,67.20647773,243,121,49.79423868,Minority and Limited English,Block group,3402938550,OCEAN,Lakewood Twp,1515,Not a split block group,Not Applicable,{54B35D15-6EE4-4744-81D8-CF7FDBC4F5C5},7324.392566,2756901.422
2764,3.40297E+11,3014,1692,56.13802256,3194,3153,41,1.28365686,394,0,0,Low Income,Block group,3402938550,OCEAN,Lakewood Twp,1515,Not a split block group,Not Applicable,{DF867C24-BA07-4115-8F7E-F8480D78966A},10246.9226,6175364.653
2765,3.40297E+11,1003,845,84.24725823,1051,993,58,5.51855376,254,12,4.72440945,Low Income,Block group,3402938550,OCEAN,Lakewood Twp,1515,Not a split block group,Not Applicable,{7EF5566D-2123-41D8-BF69-AE4956652725},5847.110641,898590.9065
