OBJECTID,Block Group identifier,Population for poverty,Population in households under 2 times poverty,Percent Low Income,Total Population,Population Not Hispanic or Latino only,Total Minority,Percent Minority,Total Households,Households with Limited English Proficiency,Percent Households with Limited English Proficiency,Overburdened Community Criteria,Block Group - Tribal,Block Group County Subdivision,County,Municipality,Municipality Code,Split Block Group,Split Municipality,GLOBALID,SHAPE_Length,SHAPE_Area
88,3.4001E+11,935,430,45.98930481,935,782,153,16.36363636,572,41,7.16783217,Low Income,Block group,3400175620,ATLANTIC,Ventnor City,122,Not a split block group,Not Applicable,{E8E3A01F-E44D-4292-8808-BD79B7ABF20A},31214.85217,21195997.18
89,3.4003E+11,1799,81,4.50250139,1799,783,1016,56.4758199,634,182,28.70662461,Minority,Block group,3400353610,BERGEN,Norwood Boro,241,Not a split block group,Not Applicable,{0C87CB2B-156A-4EF3-AAAC-8ED145F4FFA8},30808.26443,42246780.58
90,3.4003E+11,868,42,4.83870968,868,206,662,76.26728111,239,0,0,Minority,Block group,3400305170,BERGEN,Bergenfield Boro,203,Not a split block group,Not Applicable,{EE553EB2-981D-4EFC-AF40-2609F8856A50},6448.034444,2322599.567
91,3.4003E+11,1310,52,3.96946565,1310,333,977,74.58015267,596,168,28.18791946,Minority,Block group,3400305170,BERGEN,Bergenfield Boro,203,Not a split block group,Not Applicable,{2A47EDD6-B6C2-4051-BFC8-6A32AFF693E6},9127.836943,4130515.723
92,3.4003E+11,665,116,17.44360902,665,21,644,96.84210526,260,69,26.53846154,Minority,Block group,3400305170,BERGEN,Bergenfield Boro,203,Not a split block group,Not Applicable,{BC279F63-BD05-46A0-8627-D61924F892FD},8052.958439,1542850.282
93,3.4003E+11,980,199,20.30612245,980,127,853,87.04081633,284,130,45.77464789,Minority and Limited English,Block group,3400305170,BERGEN,Bergenfield Boro,203,Not a split block group,Not Applicable,{1D4432A1-180F-4A23-B5C8-C1AD43A7941A},6024.766878,2237996.845
94,3.4003E+11,1774,97,5.46786922,1774,546,1228,69.22209696,463,17,3.67170626,Minority,Block group,3400305170,BERGEN,Bergenfield Boro,203,Not a split block group,Not Applicable,{01512D37-31EE-4D44-9403-AD21F05380FA},8501.273526,4244167.253
95,3.4003E+11,730,121,16.57534247,730,283,447,61.23287671,314,0,0,Minority,Block group,3400305170,BERGEN,Bergenfield Boro,203,Not a split block group,Not Applicable,{51737D03-5BB4-4D47-A9BD-4C00F7024A8A},6717.470441,2578383.442
96,3.4003E+11,1037,142,13.69334619,1037,487,550,53.03760849,296,0,0,Minority,Block group,3400305170,BERGEN,Bergenfield Boro,203,Not a split block group,Not Applicable,{41494DF3-DEDD-4833-A37E-6DC9345F23B6},7214.125695,2843927.485
97,3.4003E+11,1002,158,15.76846307,1002,477,525,52.39520958,303,0,0,Minority,Block group,3400305170,BERGEN,Bergenfield Boro,203,Not a split block group,Not Applicable,{93445358-90DD-4CAE-89BA-3341500FE039},6901.0134,2604523.128
98,3.4003E+11,1790,188,10.5027933,1790,901,889,49.66480447,473,8,1.69133192,Minority,Block group,3400305170,BERGEN,Bergenfield Boro,203,Not a split block group,Not Applicable,{A95A247C-479A-4299-9F5F-056BE6B33A64},9341.424087,4484261.235
99,3.4003E+11,660,122,18.48484848,660,194,466,70.60606061,223,0,0,Minority,Block group,3400305170,BERGEN,Bergenfield Boro,203,Not a split block group,Not Applicable,{9B566325-B825-41C8-9AE8-11EC7FB751CC},9800.859927,3758587.327
100,3.4003E+11,765,37,4.83660131,765,391,374,48.88888889,208,11,5.28846154,Minority,Block group,3400305170,BERGEN,Bergenfield Boro,203,Not a split block group,Not Applicable,{4FA199CD-9D49-45C7-B6EF-C4B4A7F81526},7255.29175,3049499.558
101,3.4003E+11,1108,44,3.97111913,1108,424,684,61.73285199,487,92,18.89117043,Minority,Block group,3400313570,BERGEN,Cliffside Park Boro,206,Not a split block group,Not Applicable,{25C59B66-E41A-4786-B19B-1C58EABFA23C},6043.115047,1360759.738
102,3.4003E+11,797,411,51.56838143,797,190,607,76.16060226,458,208,45.41484716,"Low Income, Minority, and Limited English",Block group,3400313570,BERGEN,Cliffside Park Boro,206,Not a split block group,Not Applicable,{7FF750C9-AEB0-4770-B4D9-0BD4A593B13F},4607.70754,692917.8982
103,3.4003E+11,1077,45,4.17827298,1077,521,556,51.62488394,543,38,6.99815838,Minority,Block group,3400313570,BERGEN,Cliffside Park Boro,206,Not a split block group,Not Applicable,{D33B6DAF-8BE5-40AC-96FC-CB1D2F05B352},3004.039396,371941.8911
104,3.4003E+11,2100,47,2.23809524,2100,980,1120,53.33333333,633,28,4.42338073,Minority,Block group,3400313810,BERGEN,Closter Boro,207,Not a split block group,Not Applicable,{CE866C91-05C4-4065-8F1D-E976843550F5},28325.70152,20899056.35
105,3.4003E+11,2041,334,16.36452719,2113,1107,1006,47.61003313,693,67,9.66810967,Minority,Block group,3400313810,BERGEN,Closter Boro,207,Not a split block group,Not Applicable,{FD25C4CC-B54E-49B3-827F-043C327C75BD},20462.6256,20918869.07
106,3.4003E+11,1520,74,4.86842105,1520,770,750,49.34210526,484,82,16.94214876,Minority,Block group,3400315820,BERGEN,Cresskill Boro,208,Not a split block group,Not Applicable,{2FBBBFA6-1898-4D5E-A69A-67749859F1B3},10393.8383,6044442.707
107,3.4003E+11,1086,453,41.71270718,1086,731,355,32.68876611,395,33,8.35443038,Low Income,Block group,3400321300,BERGEN,Elmwood Park Boro,211,Not a split block group,Not Applicable,{80301301-8C84-4244-B664-013CF1EAFF41},8362.712249,3614216.451
108,3.4003E+11,1781,340,19.09039865,1781,1008,773,43.40258282,711,14,1.96905767,Minority,Block group,3400321300,BERGEN,Elmwood Park Boro,211,Not a split block group,Not Applicable,{F77E956D-BF44-4406-88D0-7B02960378E1},12246.49424,8289378.884
109,3.4003E+11,1067,352,32.98969072,1067,316,751,70.38425492,375,98,26.13333333,Minority,Block group,3400321300,BERGEN,Elmwood Park Boro,211,Not a split block group,Not Applicable,{D64F5B3A-3632-4BB8-AEDD-33EA82E0E2CF},9501.223771,4203377.261
110,3.4003E+11,824,40,4.85436893,824,492,332,40.29126214,260,0,0,Minority,Block group,3400321450,BERGEN,Emerson Boro,214,Not a split block group,Not Applicable,{1069530D-5394-469B-AF63-AD40B25DBA09},32686.22954,26357985.19
111,3.4003E+11,1586,326,20.55485498,1586,0,1586,100,424,0,0,Minority,Block group,3400321480,BERGEN,Englewood City,215,Not a split block group,Not Applicable,{6A2CB1F9-5331-480F-90EC-3C75934BC8C3},11722.85396,4335023.29
112,3.4003E+11,1418,653,46.05077574,1418,29,1389,97.95486601,423,46,10.87470449,Low Income and Minority,Block group,3400321480,BERGEN,Englewood City,215,Not a split block group,Not Applicable,{26FCCA68-2D5E-44B2-92F5-36D9ABCA279C},8322.980721,3164452.406
113,3.4003E+11,1762,380,21.56640182,1762,92,1670,94.77866061,718,5,0.69637883,Minority,Block group,3400321480,BERGEN,Englewood City,215,Not a split block group,Not Applicable,{3C65B50F-1E92-493C-88E8-EC7304207D9B},13761.23809,5404820.294
114,3.4003E+11,896,467,52.12053571,896,22,874,97.54464286,484,0,0,Low Income and Minority,Block group,3400321480,BERGEN,Englewood City,215,Not a split block group,Not Applicable,{4F6B9731-A137-4441-B371-BEB83CFADD7D},8141.8924,4356740.898
115,3.4003E+11,1031,0,0,1031,425,606,58.77788555,356,17,4.7752809,Minority,Block group,3400321480,BERGEN,Englewood City,215,Not a split block group,Not Applicable,{D7A18F9F-F0B7-4071-B95B-83C4FF417C24},20689.48808,18397901.48
116,3.4003E+11,1755,831,47.35042735,1814,1671,143,7.8831312,520,0,0,Low Income,Block group,3400321480,BERGEN,Englewood City,215,Not a split block group,Not Applicable,{A3B4BFFA-1214-4439-8A6A-C626CE4EAEC1},13452.1555,6788267.724
117,3.4002E+11,25,11,44,2852,1833,1019,35.72931276,9,0,0,Low Income,Block group,3400125560,ATLANTIC,Galloway Twp,111,Not a split block group,Not Applicable,{E3F6DCA1-9A3B-4EB0-9261-711D33FF99A4},41566.13109,80590338.22
118,3.4003E+11,626,43,6.86900958,626,361,265,42.33226837,235,16,6.80851064,Minority,Block group,3400301090,BERGEN,Alpine Boro,202,Not a split block group,Not Applicable,{D0D10996-815D-4850-B753-1EC179818185},83322.97923,223744004.9
119,3.4003E+11,1749,148,8.46197827,1749,881,868,49.62835906,580,16,2.75862069,Minority,Block group,3400353430,BERGEN,Northvale Boro,240,Not a split block group,Not Applicable,{74A0F969-8FA4-4D6B-94A1-4A6DE91F3F5A},12929.14438,7632537.285
120,3.4003E+11,1262,4,0.31695721,1262,711,551,43.66085578,404,23,5.69306931,Minority,Block group,3400353430,BERGEN,Northvale Boro,240,Not a split block group,Not Applicable,{FF0A0F03-D642-46FE-8694-CE748E5300FE},12915.98253,10069457.99
121,3.4003E+11,897,37,4.12486065,897,377,520,57.97101449,292,7,2.39726027,Minority,Block group,3400305170,BERGEN,Bergenfield Boro,203,Not a split block group,Not Applicable,{AAE28ED2-8EA5-43DB-839F-AE86330677D6},7299.345623,2359263.326
122,3.4003E+11,1108,114,10.28880866,1108,626,482,43.50180505,506,45,8.89328063,Minority,Block group,3400310480,BERGEN,Carlstadt Boro,205,Not a split block group,Not Applicable,{14E6BC2F-1CF8-42AC-8E44-F93A6670681F},6895.138972,2446066.623
123,3.4003E+11,1660,128,7.71084337,1660,473,1187,71.5060241,599,40,6.67779633,Minority,Block group,3400305170,BERGEN,Bergenfield Boro,203,Not a split block group,Not Applicable,{BC61B41C-1B08-4F11-AA7B-7530F54B82F3},7989.586723,3024981.754
124,3.4003E+11,714,39,5.46218487,714,166,548,76.75070028,289,29,10.03460208,Minority,Block group,3400305170,BERGEN,Bergenfield Boro,203,Not a split block group,Not Applicable,{78FCE1EA-1913-494C-BF76-9E8E1C3BF889},8769.160973,3276305.382
125,3.4003E+11,1552,459,29.57474227,1552,429,1123,72.35824742,478,21,4.39330544,Minority,Block group,3400305170,BERGEN,Bergenfield Boro,203,Not a split block group,Not Applicable,{84EA4A9B-155B-4557-9B9A-A8F6D32128A2},6532.290828,2326113.631
126,3.4003E+11,730,156,21.36986301,730,141,589,80.68493151,286,45,15.73426573,Minority,Block group,3400305170,BERGEN,Bergenfield Boro,203,Not a split block group,Not Applicable,{2D25C197-88A0-4C17-A840-E335D56A8062},8379.239614,2551084.523
127,3.4003E+11,1033,114,11.03581801,1033,138,895,86.64085189,429,29,6.75990676,Minority,Block group,3400305170,BERGEN,Bergenfield Boro,203,Not a split block group,Not Applicable,{425E6198-7618-462E-8907-7E4AB7FC7C02},9626.004478,2964587.991
128,3.4003E+11,1221,60,4.91400491,1221,307,914,74.85667486,373,22,5.89812332,Minority,Block group,3400305170,BERGEN,Bergenfield Boro,203,Not a split block group,Not Applicable,{4D94DE7D-2AD0-4CBC-8239-F7375FD03CA5},9313.613155,4427299.341
129,3.4003E+11,1414,266,18.81188119,1414,130,1284,90.80622348,508,0,0,Minority,Block group,3400305170,BERGEN,Bergenfield Boro,203,Not a split block group,Not Applicable,{3239753D-7B2B-4758-9BC0-17FF7479B3A2},6905.589866,2725810.475
130,3.4003E+11,1033,224,21.68441433,1033,470,563,54.50145208,302,26,8.60927152,Minority,Block group,3400305170,BERGEN,Bergenfield Boro,203,Not a split block group,Not Applicable,{A51C208C-DBCD-4837-9B43-9115380F815E},11347.63634,3645291.663
131,3.4003E+11,1092,129,11.81318681,1092,261,831,76.0989011,378,50,13.22751323,Minority,Block group,3400305170,BERGEN,Bergenfield Boro,203,Not a split block group,Not Applicable,{BAF2A92A-0CDD-4BBF-8C33-664748139D83},14008.25251,10621594.29
132,3.4003E+11,2017,1406,69.70748637,2078,137,1941,93.40712223,887,297,33.48365276,Low Income and Minority,Block group,3400305170,BERGEN,Bergenfield Boro,203,Not a split block group,Not Applicable,{8D46CB72-6C0F-4B19-995A-BC57E2DBDA71},5670.681543,1908382.254
133,3.4003E+11,869,231,26.58227848,869,454,415,47.75604143,302,7,2.31788079,Minority,Block group,3400305170,BERGEN,Bergenfield Boro,203,Not a split block group,Not Applicable,{C5F7B1A3-623A-42B2-8671-FFF9EE00B3F0},10063.46027,2832229.946
134,3.4003E+11,1825,412,22.57534247,1830,542,1288,70.38251366,605,28,4.62809917,Minority,Block group,3400306490,BERGEN,Bogota Boro,204,Not a split block group,Not Applicable,{CCDA93F7-B57A-4CEC-B15A-FC0723D95111},10764.07035,6116511.645
135,3.4003E+11,810,131,16.17283951,810,387,423,52.22222222,413,61,14.76997579,Minority,Block group,3400306490,BERGEN,Bogota Boro,204,Not a split block group,Not Applicable,{3B886CE8-3377-4B35-AE43-1CCBAE46BD9A},10028.18981,2648351.81
136,3.4003E+11,1823,126,6.91168404,1823,563,1260,69.11684037,552,75,13.58695652,Minority,Block group,3400313570,BERGEN,Cliffside Park Boro,206,Not a split block group,Not Applicable,{039E3CC9-4087-45F6-8489-CA288C7CFD1B},5392.650461,1437848.444
137,3.4003E+11,2189,405,18.5015989,2189,538,1651,75.42256738,674,13,1.92878338,Minority,Block group,3400306490,BERGEN,Bogota Boro,204,Not a split block group,Not Applicable,{1B7638D3-F582-4492-8557-3D0A8071E026},7467.102635,3296795.884
138,3.4003E+11,1479,385,26.0311021,1479,471,1008,68.15415822,518,44,8.49420849,Minority,Block group,3400306490,BERGEN,Bogota Boro,204,Not a split block group,Not Applicable,{5AB00639-694A-46A1-A4A4-6D9A8501F4F9},7982.895389,2582432.299
139,3.4003E+11,826,27,3.26876513,826,466,360,43.58353511,373,35,9.38337802,Minority,Block group,3400313570,BERGEN,Cliffside Park Boro,206,Not a split block group,Not Applicable,{2C606FCF-113F-4D16-B9F2-DC93E59E2C60},9030.689907,3526484.759
140,3.4003E+11,1351,521,38.56402665,1351,312,1039,76.90599556,434,25,5.76036866,Low Income and Minority,Block group,3400306490,BERGEN,Bogota Boro,204,Not a split block group,Not Applicable,{8899870C-0DFC-4723-A690-2C66D2F2CD7C},7998.287394,2746555.256
141,3.4003E+11,1281,72,5.6206089,1281,494,787,61.43637783,555,15,2.7027027,Minority,Block group,3400306490,BERGEN,Bogota Boro,204,Not a split block group,Not Applicable,{D8A61640-907E-4CA3-9102-47311A8204C5},12034.07798,4816996.375
142,3.4003E+11,752,16,2.12765957,752,436,316,42.0212766,462,28,6.06060606,Minority,Block group,3400313570,BERGEN,Cliffside Park Boro,206,Not a split block group,Not Applicable,{D6E936A5-B53C-4813-9B1C-46A3FA6BFC02},3390.138193,343076.317
143,3.4003E+11,1074,392,36.4990689,1083,413,670,61.86518929,560,63,11.25,Low Income and Minority,Block group,3400310480,BERGEN,Carlstadt Boro,205,Not a split block group,Not Applicable,{F78ABAE5-1E69-43BE-AA99-A65BA715F786},8309.126824,2985817.659
144,3.4003E+11,474,176,37.13080169,514,126,388,75.48638132,271,74,27.30627306,Low Income and Minority,Block group,3400321480,BERGEN,Englewood City,215,Not a split block group,Not Applicable,{51486150-950D-46B7-B97A-CF27651C1817},8173.138199,3554981.409
145,3.4003E+11,842,208,24.70308789,853,242,611,71.62954279,271,19,7.01107011,Minority,Block group,3400321510,BERGEN,Englewood Cliffs Boro,216,Not a split block group,Not Applicable,{FEBF7DD0-E3F0-4A6F-A1C0-497F59253AFF},9742.326972,4234720.673
146,3.4003E+11,1864,931,49.94635193,1864,609,1255,67.32832618,655,122,18.6259542,Low Income and Minority,Block group,3400313570,BERGEN,Cliffside Park Boro,206,Not a split block group,Not Applicable,{9B615577-7C33-476B-A661-9130A0F8DDA7},4608.14495,990011.412
147,3.4003E+11,1041,334,32.0845341,1041,448,593,56.96445725,440,94,21.36363636,Minority,Block group,3400313570,BERGEN,Cliffside Park Boro,206,Not a split block group,Not Applicable,{69FC826B-4240-46CC-806C-1AB6E6553B99},3236.653984,625612.1501
148,3.4003E+11,1104,310,28.07971014,1116,646,470,42.11469534,467,75,16.05995717,Minority,Block group,3400313570,BERGEN,Cliffside Park Boro,206,Not a split block group,Not Applicable,{38CA0CAB-D033-45D7-9285-874B7187AE3F},4769.624798,1206944.332
149,3.4003E+11,1773,90,5.07614213,1773,835,938,52.90468133,954,68,7.1278826,Minority,Block group,3400320020,BERGEN,Edgewater Boro,213,Not a split block group,Not Applicable,{C19FE393-286F-441D-8A6A-D33C74F54F40},8735.431031,2549541.032
150,3.4003E+11,946,117,12.36786469,946,296,650,68.71035941,320,42,13.125,Minority,Block group,3400313570,BERGEN,Cliffside Park Boro,206,Not a split block group,Not Applicable,{6B0D1119-C332-46C6-9E57-7752AA15D76C},4874.711643,1358473.929
151,3.4003E+11,1059,174,16.4305949,1059,419,640,60.43437205,543,0,0,Minority,Block group,3400320020,BERGEN,Edgewater Boro,213,Not a split block group,Not Applicable,{BFD0D5DD-344A-4CB6-8B11-58C470F0D27B},13392.5881,2130338.82
152,3.4003E+11,1453,73,5.02408809,1453,392,1061,73.02133517,416,8,1.92307692,Minority,Block group,3400313570,BERGEN,Cliffside Park Boro,206,Not a split block group,Not Applicable,{59F05C15-EEE8-46F0-9EE0-CFEACDAE319C},6495.051767,1762683.15
153,3.4003E+11,854,202,23.65339578,854,495,359,42.03747073,335,65,19.40298507,Minority,Block group,3400313570,BERGEN,Cliffside Park Boro,206,Not a split block group,Not Applicable,{E8FFA308-769B-4285-B567-CFDCA0FE3C3C},5617.96984,1805937.207
154,3.4003E+11,1058,301,28.44990548,1058,347,711,67.20226843,439,74,16.85649203,Minority,Block group,3400313570,BERGEN,Cliffside Park Boro,206,Not a split block group,Not Applicable,{9741E05B-89A7-4DD8-B74B-244AF200D816},3829.495769,820579.1141
155,3.4003E+11,1777,304,17.10748452,1870,868,1002,53.5828877,529,12,2.268431,Minority,Block group,3400313570,BERGEN,Cliffside Park Boro,206,Not a split block group,Not Applicable,{EFCE2C92-7270-460F-A068-D4A4C3392E21},4678.681202,1277944.287
156,3.4003E+11,2012,541,26.88866799,2038,944,1094,53.68007851,1015,51,5.02463054,Minority,Block group,3400319510,BERGEN,East Rutherford Boro,212,Not a split block group,Not Applicable,{41340DB8-DC2A-4E80-A97B-3D6DD1C4E756},9188.023713,3603181.138
157,3.4003E+11,1303,560,42.97774367,1303,422,881,67.61320031,588,258,43.87755102,"Low Income, Minority, and Limited English",Block group,3400313570,BERGEN,Cliffside Park Boro,206,Not a split block group,Not Applicable,{55D9CD0D-9B34-41A9-911E-69503B958665},4935.652625,1357783.341
158,3.4003E+11,1670,421,25.20958084,1699,525,1174,69.09947028,572,160,27.97202797,Minority,Block group,3400313570,BERGEN,Cliffside Park Boro,206,Not a split block group,Not Applicable,{7E37385C-032E-40D9-BF6B-5ED5B99318F4},4889.045599,1070996.978
159,3.4003E+11,1098,726,66.12021858,1098,268,830,75.59198543,449,70,15.59020045,Low Income and Minority,Block group,3400313570,BERGEN,Cliffside Park Boro,206,Not a split block group,Not Applicable,{0FFC5ED4-FF2D-481E-A0C7-1655A5CB5ABC},6514.388908,1018050.327
160,3.4003E+11,1432,503,35.12569832,1432,430,1002,69.97206704,770,124,16.1038961,Low Income and Minority,Block group,3400313570,BERGEN,Cliffside Park Boro,206,Not a split block group,Not Applicable,{549AF2DF-AF04-4FD5-93B6-E933C4498B40},7223.2452,1010586.014
161,3.4003E+11,1006,19,1.88866799,1006,579,427,42.44532803,465,43,9.24731183,Minority,Block group,3400313570,BERGEN,Cliffside Park Boro,206,Not a split block group,Not Applicable,{D8A78477-364B-4581-8F7D-6D7A470BF972},7045.188258,1283812.191
162,3.4003E+11,641,57,8.89235569,641,344,297,46.33385335,195,6,3.07692308,Minority,Block group,3400313810,BERGEN,Closter Boro,207,Not a split block group,Not Applicable,{51FC1ED7-ABA4-4876-8E4E-57201A3E2B05},11845.03453,6978004.245
163,3.4003E+11,1799,396,22.01222902,1799,520,1279,71.09505281,548,50,9.12408759,Minority,Block group,3400313810,BERGEN,Closter Boro,207,Not a split block group,Not Applicable,{DE35CAD4-685F-443E-9D26-6BB4DAD262E6},13059.5895,10427701.6
164,3.4003E+11,1213,109,8.98598516,1213,539,674,55.56471558,397,66,16.62468514,Minority,Block group,3400313810,BERGEN,Closter Boro,207,Not a split block group,Not Applicable,{E5F00070-E5B3-4EFD-9A82-1196C9AF1F30},21574.0747,24433878.28
165,3.4003E+11,689,10,1.45137881,689,365,324,47.02467344,255,14,5.49019608,Minority,Block group,3400313810,BERGEN,Closter Boro,207,Not a split block group,Not Applicable,{EAD2D752-B552-464D-82B7-A20A9ECF92CC},12206.77693,8384459.127
166,3.4003E+11,1863,103,5.52871712,1863,945,918,49.27536232,608,11,1.80921053,Minority,Block group,3400315820,BERGEN,Cresskill Boro,208,Not a split block group,Not Applicable,{80BBFD5B-AEEF-429A-95B8-77B0F1164992},20455.20055,23160068.05
167,3.4003E+11,1164,225,19.32989691,1164,666,498,42.78350515,377,0,0,Minority,Block group,3400322470,BERGEN,Fair Lawn Boro,217,Not a split block group,Not Applicable,{ED4DEB24-188A-43D2-8849-0F888A0DC965},10392.39295,5903675.435
168,3.4003E+11,1106,93,8.40867993,1134,534,600,52.91005291,380,44,11.57894737,Minority,Block group,3400315820,BERGEN,Cresskill Boro,208,Not a split block group,Not Applicable,{A130AC71-6988-4A55-A6E0-FACCBD578852},17614.56805,7523940.133
169,3.4003E+11,854,73,8.54800937,854,463,391,45.78454333,312,20,6.41025641,Minority,Block group,3400322470,BERGEN,Fair Lawn Boro,217,Not a split block group,Not Applicable,{7A08E7E6-7E38-4B73-B7EA-61DD46F6AB7C},12370.74995,5646735.686
170,3.4003E+11,1234,146,11.83144246,1234,148,1086,88.00648298,615,112,18.21138211,Minority,Block group,3400320020,BERGEN,Edgewater Boro,213,Not a split block group,Not Applicable,{E703BD85-F384-437F-AAB0-AA78D20E541B},10354.29663,1226812.272
171,3.4003E+11,1426,146,10.23842917,1426,465,961,67.39130435,408,13,3.18627451,Minority,Block group,3400322470,BERGEN,Fair Lawn Boro,217,Not a split block group,Not Applicable,{664AA868-A73A-4C8A-92D3-BE3AC0739644},8458.875816,4182043.425
172,3.4003E+11,1227,46,3.74898126,1227,712,515,41.97229014,395,34,8.60759494,Minority,Block group,3400317530,BERGEN,Demarest Boro,209,Not a split block group,Not Applicable,{9F5498A2-69EC-480D-BE5D-5A57574FEBB9},22630.74811,22121775.95
173,3.4003E+11,1063,171,16.08654751,1063,597,466,43.83819379,370,34,9.18918919,Minority,Block group,3400330540,BERGEN,Haworth Boro,226,Not a split block group,Not Applicable,{BCED975A-9495-47A2-9983-C922EF8DB870},18058.20462,11448981.07
174,3.4003E+11,820,10,1.2195122,820,379,441,53.7804878,253,23,9.09090909,Minority,Block group,3400318400,BERGEN,Dumont Boro,210,Not a split block group,Not Applicable,{81F83D8C-8A0D-4890-93BF-8E7401962110},8029.037435,2364491.024
175,3.4003E+11,1189,138,11.60639193,1189,534,655,55.0883095,330,0,0,Minority,Block group,3400318400,BERGEN,Dumont Boro,210,Not a split block group,Not Applicable,{9691F2CC-DB6A-4FAB-9C97-8CA33518E3BA},8863.753023,3310925.918
176,3.4003E+11,583,99,16.98113208,583,290,293,50.25728988,194,25,12.88659794,Minority,Block group,3400318400,BERGEN,Dumont Boro,210,Not a split block group,Not Applicable,{5417AFF9-16D3-4098-A69B-6F644AC210CA},9549.922365,2944354.518
177,3.4003E+11,938,74,7.8891258,938,540,398,42.43070362,296,25,8.44594595,Minority,Block group,3400318400,BERGEN,Dumont Boro,210,Not a split block group,Not Applicable,{964ADEB1-AD81-4545-B538-E2EF0A035D2B},7632.992239,3355427.481
178,3.4003E+11,772,210,27.20207254,772,430,342,44.30051813,328,0,0,Minority,Block group,3400318400,BERGEN,Dumont Boro,210,Not a split block group,Not Applicable,{ED94D910-A404-440B-9EFB-12AF7CC6D9A4},7696.476314,3480979.211
179,3.4003E+11,1448,111,7.66574586,1448,539,909,62.77624309,440,68,15.45454545,Minority,Block group,3400318400,BERGEN,Dumont Boro,210,Not a split block group,Not Applicable,{E27057B4-6B60-4233-ABC0-72A33EAB32E4},8246.373245,2480463.926
180,3.4003E+11,910,177,19.45054945,910,370,540,59.34065934,335,37,11.04477612,Minority,Block group,3400318400,BERGEN,Dumont Boro,210,Not a split block group,Not Applicable,{29F69A39-7128-473E-81BB-EE513D109206},7637.885566,2343099.627
181,3.4003E+11,1174,215,18.31345826,1174,330,844,71.89097104,350,62,17.71428571,Minority,Block group,3400318400,BERGEN,Dumont Boro,210,Not a split block group,Not Applicable,{C75C1517-0699-4A1A-AC03-AEF58D607E82},7499.206039,3307412.498
182,3.4003E+11,1148,359,31.271777,1148,357,791,68.90243902,470,0,0,Minority,Block group,3400318400,BERGEN,Dumont Boro,210,Not a split block group,Not Applicable,{1FF99B09-CA16-4462-9093-E9E23D14345C},11783.47284,3870439.621
183,3.4003E+11,850,0,0,850,372,478,56.23529412,308,0,0,Minority,Block group,3400318400,BERGEN,Dumont Boro,210,Not a split block group,Not Applicable,{ECDF720B-46AA-4F0C-A65B-ECE5CC428301},7760.283375,2373665.322
