OBJECTID,GEOID,POVUNIVERSE,POPUNDER2XPOV,LOW_INCOME_PCT,TOTALPOP,NONHISPWHITE,TOTALMINORITY,MINORITY_PCT,TOTHH,TOTLANGUAGEISO,PCTLINGUAGEISO,OVERBURDENED_COMMUNITY_CRITERI,BG_TRIBAL,GEOID_COUNTYSUBDIVISION,COUNTY,NAME,MUN_CODE,SPLIT_BG,SPLIT_MUN,GLOBALID,Shape__Area,Shape__Length
1,340010001001,931,585,62.83566058,947,94,853,90.07391763,330,51,15.45454545,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,1baf1194-48c9-42c0-82c2-cfdb9374a896,10712127.4352264,13286.6713974793
2,340010001002,1217,601,49.38373048,1217,437,780,64.09202958,506,51,10.07905138,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,b5459fa4-2a25-4f2e-a2e7-be36dcc055ec,12655092.9165268,17681.0746657693
3,340010002001,2147,1028,47.88076386,2147,470,1677,78.10898929,741,187,25.23616734,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,83354d44-29d4-46f0-8448-6c497d17e626,9261212.74825287,15404.4353463722
4,340010002002,422,149,35.30805687,422,154,268,63.507109,230,91,39.56521739,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,872fd827-1340-4bf4-9feb-1e7f9f4c981b,1722495.28624725,7958.92307051206
5,340010011001,1232,549,44.56168831,1232,86,1146,93.01948052,671,34,5.06706408,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,195f5eaf-9d69-49d8-8743-64c6823f01f6,1507139.11747742,5360.3023606257
6,340010013002,1239,420,33.89830508,1239,102,1137,91.76755448,565,14,2.47787611,Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,cbd45d84-9c16-4877-a756-f138f4fae90a,298879969.154877,92181.4517265055
7,340010003001,1120,652,58.21428571,1120,66,1054,94.10714286,418,115,27.51196172,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,a257e630-096f-4bb6-adba-494880fc177d,1715035.1437912,6284.62176578634
8,340010003002,2838,2044,72.02255109,2838,13,2825,99.54193094,664,278,41.86746988,"Low Income, Minority, and Limited English",Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,a1c587ed-49d2-4849-97d9-26efb75fcc63,1215031.5840683,5076.60481901673
9,340010003003,626,296,47.28434505,626,148,478,76.35782748,359,98,27.29805014,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,578e6962-27d7-43fb-97fc-87ddd84a2665,1492873.1622467,4823.92224478587
10,340010005001,802,526,65.58603491,802,127,675,84.16458853,254,28,11.02362205,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,7898b627-a82f-473a-a783-ac11e857a104,1294018.67505646,4981.03953891591
11,340010005002,1792,1096,61.16071429,1792,144,1648,91.96428571,676,120,17.75147929,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,5ec3a602-9c7d-476e-9df8-995739c22f08,2509992.29161072,7806.45292095732
12,340010011002,602,320,53.15614618,602,32,570,94.68438538,506,28,5.53359684,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,e275078b-54cd-42e4-85d3-64dc0597b393,1607297.78022003,5082.76333559852
13,340010012002,872,342,39.22018349,872,60,812,93.11926606,509,0,0,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,1ed51547-2203-4d0b-a05a-f5ce3bf9731b,7240200.29872131,15177.2402742465
14,340010012003,463,431,93.08855292,463,44,419,90.49676026,127,67,52.75590551,"Low Income, Minority, and Limited English",Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,698dbcda-96f1-49f7-9e82-47179efdfa9f,4811884.31723022,9928.46495577527
15,340010004001,1146,696,60.73298429,1271,707,564,44.37450826,684,79,11.5497076,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,cfff14d4-a303-4490-9038-65abb8329281,3178817.2159729,8044.90514879302
16,340010013001,466,111,23.81974249,466,18,448,96.13733906,232,0,0,Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,169a5275-51e1-4d3b-8483-32a0fb9fde6a,4464054.43567657,12197.5673960221
17,340010004002,639,440,68.85758998,639,336,303,47.41784038,320,32,10,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,4de3e390-c9f2-4a02-9ee5-993b2bfed129,12391617.3569641,17123.0821049138
18,340010004003,1877,1287,68.56686201,1881,212,1669,88.72939926,661,78,11.80030257,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,edc7afd1-62d8-4cd1-97f7-0904e6f76dec,2686153.67966461,7181.19459098876
19,340010012001,1059,305,28.80075543,1059,4,1055,99.62228517,460,46,10,Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,86807168-a685-4797-9198-4bbfd91664c5,1722226.14016724,5948.33918742142
20,340010014003,1461,1131,77.41273101,1461,28,1433,98.08350445,722,89,12.32686981,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,126ec28f-2aa4-4e84-ad17-2ecb717170e3,2116195.20726776,6313.84948257039
21,340010015002,275,194,70.54545455,275,24,251,91.27272727,198,9,4.54545455,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,11fd21f7-3e5f-4bcc-9b53-c420854ac2b3,1517923.72324371,5437.85708714381
22,340010023001,938,828,88.27292111,938,56,882,94.02985075,271,89,32.84132841,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,c15ab255-f47a-476c-b82c-3422b855885d,7928733.50255585,11668.4818816455
23,340010024002,594,541,91.07744108,594,302,292,49.15824916,377,60,15.91511936,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,6ba24d01-cc35-4c7d-9828-4a49014bd5bf,18649305.0151672,17794.5137269859
24,340010024003,811,770,94.94451295,811,99,712,87.79284834,281,0,0,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,03dd34d0-4f13-4c09-bb77-e3efafab8706,3577875.23060608,8276.91225603245
25,340010014001,1334,1204,90.25487256,1345,8,1337,99.40520446,577,176,30.50259965,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,df4755bd-b80a-4f3d-9440-f989672ec7cd,22763659.54245,20619.2619925222
26,340010014002,778,243,31.23393316,778,209,569,73.13624679,189,0,0,Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,99c7b79f-46e9-4178-bf3b-8d8bc20fcbf7,4363266.94003296,11140.459190741
27,340010015001,1148,1013,88.24041812,1148,86,1062,92.5087108,630,122,19.36507937,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,1d92c1be-0a1e-4752-8f98-4303cd6798ee,1711552.62442017,5490.11800504677
28,340010023002,1554,1009,64.92921493,1618,172,1446,89.36959209,506,133,26.28458498,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,52a7a017-b95c-4611-95c3-774b57cda293,4385646.83813477,8554.15612296448
29,340010024001,408,140,34.31372549,408,0,408,100,158,37,23.41772152,Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,a3e94b47-e3cd-463c-80e5-7223e4f10a9d,2437201.28825378,10166.8948742899
30,340010019001,1131,754,66.66666667,1131,225,906,80.1061008,446,84,18.83408072,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,20e3bdae-d935-4074-9db1-1f40a19e302b,1107194.616745,5160.55798391763
31,340010019002,535,322,60.18691589,535,291,244,45.60747664,455,8,1.75824176,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,db1dbb26-7c43-4d49-a49e-046961d55eba,7273912.20527649,12418.2125850141
32,340010025002,1758,1594,90.67121729,1758,241,1517,86.29124005,712,34,4.7752809,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,e1100f80-5291-490a-97b7-27afde1da435,3165178.40991974,11630.83789495
33,340010101052,758,362,47.75725594,758,416,342,45.11873351,460,9,1.95652174,Low Income and Minority,Block group,3400107810,ATLANTIC,Brigantine City,0103,Not a split block group,Not Applicable,8d16a401-62d9-4ca8-bfc9-b24689b77ef5,2210326.99022675,7407.36417218452
34,340010104032,2402,450,18.73438801,2402,872,1530,63.69691923,606,68,11.22112211,Minority,Block group,3400125560,ATLANTIC,Galloway Township,0111,Not a split block group,Not Applicable,66dc485f-c478-45a1-81d1-b9615c8a5180,61054972.9672928,53804.3400861554
35,340010108002,1575,557,35.36507937,1783,1561,222,12.45092541,643,0,0,Low Income,Block group,3400129430,ATLANTIC,Hammonton Town,0113,Not a split block group,Not Applicable,8d51d695-26fa-4c5a-a60c-43863d3b4f3b,194439457.063461,85143.2802148139
36,340010024004,522,254,48.65900383,922,116,806,87.4186551,266,52,19.54887218,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,54c7ca8e-bd04-492a-b87a-d004692a3c89,2017686.51721954,5708.86517513584
37,340010025001,595,426,71.59663866,595,9,586,98.48739496,226,0,0,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,2c244338-e8ef-436a-b367-3aaee4aaf187,2841648.02346039,7941.13490853253
38,340010025003,187,6,3.20855615,282,58,224,79.43262411,102,30,29.41176471,Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,1ac1eae8-a560-49fc-8bac-f153864a9e33,2444661.10691071,8870.59940858484
39,340010025004,1573,1007,64.01780038,1573,287,1286,81.75460903,1123,36,3.20569902,Low Income and Minority,Block group,3400102080,ATLANTIC,Atlantic City,0102,Not a split block group,Not Applicable,e86b51e5-34e2-4032-ab9d-63840e847ac0,8585076.18791199,13019.7008465616
40,340010101022,292,105,35.95890411,292,276,16,5.47945205,185,0,0,Low Income,Block group,3400107810,ATLANTIC,Brigantine City,0103,Not a split block group,Not Applicable,e9b80c08-3bf6-49d4-87ed-c3c129022af3,3999239.09256744,8748.95278331659
41,340010102003,754,294,38.99204244,755,385,370,49.00662252,373,0,0,Low Income and Minority,Block group,3400100100,ATLANTIC,Absecon City,0101,Not a split block group,Not Applicable,4006fa2d-5e4f-4e35-b5a0-962ffd037aa1,6697723.0499115,12382.5524013165
42,340010103001,1393,288,20.67480258,1393,257,1136,81.55061019,590,21,3.55932203,Minority,Block group,3400100100,ATLANTIC,Absecon City,0101,Not a split block group,Not Applicable,64158ca7-0540-403a-a539-2b6c4d62783e,33727932.0693436,23749.6568614445
43,340010104013,920,278,30.2173913,945,397,548,57.98941799,368,0,0,Minority,Block group,3400125560,ATLANTIC,Galloway Township,0111,Not a split block group,Not Applicable,10ff3a63-c3d5-430a-9bf9-c043f0b50d19,177348105.850204,71466.0268219503
44,340010104031,1418,55,3.8787024,1522,655,867,56.96452037,432,50,11.57407407,Minority,Block group,3400125560,ATLANTIC,Galloway Township,0111,Not a split block group,Not Applicable,ee04d96b-f08f-4762-8a32-6330d9014ea8,14184171.0079422,16819.2258563571
45,340010104033,3547,827,23.31547787,3847,1791,2056,53.44424227,1259,7,0.55599682,Minority,Block group,3400125560,ATLANTIC,Galloway Township,0111,Not a split block group,Not Applicable,4bae1979-3367-4d74-867e-af7edea4b2e0,24072025.3273087,36233.8651038776
46,340010105031,902,312,34.58980044,902,223,679,75.27716186,446,0,0,Minority,Block group,3400125560,ATLANTIC,Galloway Township,0111,Not a split block group,Not Applicable,843accc3-69db-4b08-90b2-e966e6db3040,15275443.1979752,16441.2918583196
47,340010105032,1678,407,24.25506555,1678,706,972,57.9261025,576,17,2.95138889,Minority,Block group,3400125560,ATLANTIC,Galloway Township,0111,Not a split block group,Not Applicable,67020a8a-8375-4f2d-9a8f-372aa539fe8f,24029875.4586258,20744.6249712724
48,340010106002,1576,322,20.43147208,1576,664,912,57.8680203,497,0,0,Minority,Block group,3400120350,ATLANTIC,Egg Harbor City,0107,Not a split block group,Not Applicable,9cb5a6a4-58e8-4f14-b091-4966f19c8bd2,15702143.4561615,15852.2864554734
49,340010106004,892,541,60.65022422,892,339,553,61.9955157,336,25,7.44047619,Low Income and Minority,Block group,3400120350,ATLANTIC,Egg Harbor City,0107,Not a split block group,Not Applicable,5cb5939c-6908-4035-ba28-eb13863b88d4,7074731.86518097,11177.2100623236
50,340010105033,2825,1360,48.14159292,2825,1275,1550,54.86725664,1077,19,1.7641597,Low Income and Minority,Block group,3400125560,ATLANTIC,Galloway Township,0111,Not a split block group,Not Applicable,5fb64140-5c87-4f5b-96a4-50d4e4bd1557,9250909.10365295,14236.8681159679
51,340010105034,1596,142,8.89724311,1596,670,926,58.02005013,833,98,11.76470588,Minority,Block group,3400125560,ATLANTIC,Galloway Township,0111,Not a split block group,Not Applicable,83c43f3a-9e5d-45db-b171-6a5a79118389,49058329.8324585,35029.1342563517
52,340010106001,923,245,26.54387866,930,426,504,54.19354839,394,96,24.36548223,Minority,Block group,3400120350,ATLANTIC,Egg Harbor City,0107,Not a split block group,Not Applicable,e7d505b3-685c-4495-8386-73b23e569688,288122152.472969,94121.0300420446
53,340010106003,980,239,24.3877551,980,462,518,52.85714286,428,23,5.37383178,Minority,Block group,3400120350,ATLANTIC,Egg Harbor City,0107,Not a split block group,Not Applicable,53c84518-ba18-40c3-9097-bb9998729ed8,7444644.22434998,11375.478658164
54,340010109001,1460,437,29.93150685,1460,821,639,43.76712329,605,0,0,Minority,Block group,3400129430,ATLANTIC,Hammonton Town,0113,Not a split block group,Not Applicable,44223285-f676-416a-9cd6-9558ba8a73d0,542759907.04451,97516.5366701219
55,340010107004,990,205,20.70707071,1027,508,519,50.53554041,476,24,5.04201681,Minority,Block group,3400149410,ATLANTIC,Mullica Township,0117,Not a split block group,Not Applicable,c761d5c2-cf3e-4d23-92ac-1d077b6c0ac6,105611322.021103,55563.1298258687
56,340010109003,1921,454,23.63352421,1921,1058,863,44.92451848,755,71,9.40397351,Minority,Block group,3400129430,ATLANTIC,Hammonton Town,0113,Not a split block group,Not Applicable,ecb0bff0-1245-47cc-afc1-d990a42e8f28,62450431.5750198,47361.9672944384
57,340010111002,1269,327,25.76832151,1269,489,780,61.46572104,330,0,0,Minority,Block group,3400129430,ATLANTIC,Hammonton Town,0113,Not a split block group,Not Applicable,badf77ba-d5d7-4851-a735-3908f7b49372,6328714.23768616,10340.7222689586
58,340010113001,515,273,53.00970874,515,304,211,40.97087379,198,0,0,Low Income and Minority,Block group,3400108680,ATLANTIC,Buena Borough,0104,Not a split block group,Not Applicable,8344f555-b657-4550-8eee-590340df6026,99193287.4035187,46027.046545164
59,340010113003,2100,456,21.71428571,2106,989,1117,53.03893637,812,36,4.43349754,Minority,Block group,3400108680,ATLANTIC,Buena Borough,0104,Not a split block group,Not Applicable,7680ca73-2ccf-492d-927a-65c94983e6ef,77565849.2270203,37768.2182514107
60,340010114012,1873,673,35.93166044,1988,860,1128,56.74044266,730,0,0,Low Income and Minority,Block group,3400129280,ATLANTIC,Hamilton Township,0112,Not a split block group,Not Applicable,81e380b2-5ede-441b-8ea2-f5e4bb8a5871,26492874.2174149,27493.7471272495
61,340010114033,1268,44,3.47003155,1268,587,681,53.70662461,349,35,10.0286533,Minority,Block group,3400129280,ATLANTIC,Hamilton Township,0112,Not a split block group,Not Applicable,2f8235d6-6944-4b46-a6a1-31a012bd667d,128571469.736198,62103.9779364009
62,340010114042,2196,262,11.93078324,2800,1370,1430,51.07142857,1062,17,1.6007533,Minority,Block group,3400129280,ATLANTIC,Hamilton Township,0112,Not a split block group,Not Applicable,44a708b4-d45a-4719-a631-9b2c7032b166,216187108.235306,78901.9052967095
63,340010115002,2205,497,22.53968254,2270,1357,913,40.22026432,658,42,6.38297872,Minority,Block group,3400129280,ATLANTIC,Hamilton Township,0112,Not a split block group,Not Applicable,c97fa0cb-f062-4480-be34-7433ec3978f1,433767764.459885,101701.43503036
64,340010115003,2163,833,38.51132686,2163,1324,839,38.78871937,893,81,9.07054871,Low Income,Block group,3400129280,ATLANTIC,Hamilton Township,0112,Not a split block group,Not Applicable,fb04f6c6-a827-426f-8e41-652a4f48ebc1,93195966.8989182,55004.0370086453
65,340010117021,1324,539,40.70996979,1366,586,780,57.10102489,516,36,6.97674419,Low Income and Minority,Block group,3400120290,ATLANTIC,Egg Harbor Township,0108,Not a split block group,Not Applicable,e81a122a-445f-4752-b97a-78f2273baea8,91267254.9817276,46131.7452621166
66,340010117031,652,141,21.62576687,654,286,368,56.26911315,245,23,9.3877551,Minority,Block group,3400120290,ATLANTIC,Egg Harbor Township,0108,Not a split block group,Not Applicable,0665db4d-9a2a-456a-8bfb-3cebde92ec1d,34095901.4448929,24124.7139789814
67,340010117032,2843,814,28.63172705,2843,673,2170,76.32782272,959,11,1.14702815,Minority,Block group,3400120290,ATLANTIC,Egg Harbor Township,0108,Not a split block group,Not Applicable,7474ac9b-99f1-4863-8fd2-beba67f537df,28625604.4581909,21948.1152553611
68,340010117033,1810,521,28.78453039,1810,963,847,46.79558011,492,10,2.03252033,Minority,Block group,3400120290,ATLANTIC,Egg Harbor Township,0108,Not a split block group,Not Applicable,39b9c236-0ff5-4531-88e0-be113a311f42,21848804.1016083,23293.6433892896
69,340010117041,1697,257,15.14437242,1697,899,798,47.02416028,762,80,10.49868766,Minority,Block group,3400120290,ATLANTIC,Egg Harbor Township,0108,Not a split block group,Not Applicable,c100b96e-df8b-4ce7-8602-00ec143e96b3,20326502.7006149,26103.990946598
70,340010117042,2984,1421,47.62064343,2989,1386,1603,53.62997658,954,57,5.97484277,Low Income and Minority,Block group,3400120290,ATLANTIC,Egg Harbor Township,0108,Not a split block group,Not Applicable,da15d3f6-debd-4323-9147-a683faca43bd,31776677.8200684,27813.9780004332
71,340010118032,2522,1305,51.74464711,2522,875,1647,65.30531324,1028,86,8.36575875,Low Income and Minority,Block group,3400120290,ATLANTIC,Egg Harbor Township,0108,Not a split block group,Not Applicable,e9a005af-eb66-4b32-8763-12f4ac376c40,16645804.270607,16847.3353953325
72,340010118081,2067,465,22.49637155,2067,650,1417,68.55345912,632,25,3.9556962,Minority,Block group,3400120290,ATLANTIC,Egg Harbor Township,0108,Not a split block group,Not Applicable,078110e3-546a-4c69-9650-5e7ea021aa83,18173299.6702271,22372.5449419258
73,340010119011,1896,1220,64.34599156,1896,62,1834,96.72995781,583,42,7.20411664,Low Income and Minority,Block group,3400159640,ATLANTIC,Pleasantville City,0119,Not a split block group,Not Applicable,4dfa4ac6-f4b0-4db5-bfc6-b02ceb851034,6666706.85094452,10440.6144608652
74,340010119012,1350,36,2.66666667,1359,17,1342,98.74908021,412,241,58.49514563,Minority and Limited English,Block group,3400159640,ATLANTIC,Pleasantville City,0119,Not a split block group,Not Applicable,393f1c3c-0621-4ed7-938b-4188b94e66b4,10602809.0216141,12855.5440969491
75,340010120001,2106,1104,52.42165242,2106,109,1997,94.82431149,665,89,13.38345865,Low Income and Minority,Block group,3400159640,ATLANTIC,Pleasantville City,0119,Not a split block group,Not Applicable,f42e5788-572f-4515-ba40-bc7485ce124b,15277283.845726,17866.8228134738
76,340010122002,1683,908,53.95127748,1683,42,1641,97.50445633,428,70,16.35514019,Low Income and Minority,Block group,3400159640,ATLANTIC,Pleasantville City,0119,Not a split block group,Not Applicable,5c398f3e-ecf6-4465-b61f-7422fa76e7dc,7119092.98188019,10607.4881489621
77,340010128012,1345,502,37.32342007,1345,851,494,36.72862454,584,42,7.19178082,Low Income,Block group,3400168430,ATLANTIC,Somers Point City,0121,Not a split block group,Not Applicable,59562d7b-01a1-403b-bcb8-c30278111daf,9926828.04780579,15567.6464154104
78,340010132011,1027,344,33.49561831,1027,326,701,68.2570594,363,16,4.4077135,Minority,Block group,3400175620,ATLANTIC,Ventnor City,0122,Not a split block group,Not Applicable,32e9b865-2ee4-4e56-90d6-d56a71694f95,1503051.56933594,4998.21648074139
79,340010112024,1949,960,49.25602873,1949,963,986,50.59004618,877,0,0,Low Income and Minority,Block group,3400108710,ATLANTIC,Buena Vista Township,0105,Not a split block group,Not Applicable,87d6b411-f718-4f56-93a6-82f2d33cf8ef,441318937.201393,99205.7998164759
80,340010114031,2087,290,13.89554384,2087,1252,835,40.00958313,796,0,0,Minority,Block group,3400129280,ATLANTIC,Hamilton Township,0112,Not a split block group,Not Applicable,e85f3d8a-81d7-4295-aa12-75f783f248d1,165237915.822571,55187.4697537999
81,340010114032,3349,1391,41.5347865,3349,1970,1379,41.17647059,1642,0,0,Low Income and Minority,Block group,3400129280,ATLANTIC,Hamilton Township,0112,Not a split block group,Not Applicable,185877b3-3cc7-4d38-8faf-1ffeb202f687,12978482.9808731,14752.9881070439
82,340010114043,4090,533,13.03178484,4090,2207,1883,46.0391198,1607,20,1.24455507,Minority,Block group,3400129280,ATLANTIC,Hamilton Township,0112,Not a split block group,Not Applicable,378d925b-96de-4a95-b1a0-028ce34a527e,38666439.5701828,32589.8992637807
83,340010119021,1770,762,43.05084746,1770,161,1609,90.9039548,754,69,9.15119363,Low Income and Minority,Block group,3400159640,ATLANTIC,Pleasantville City,0119,Not a split block group,Not Applicable,a0d4cd9f-6003-44fb-9f2e-0c99e461b89f,9736445.36995697,12931.2425175612
84,340010119022,2874,1856,64.57898399,2874,462,2412,83.92484342,935,119,12.72727273,Low Income and Minority,Block group,3400159640,ATLANTIC,Pleasantville City,0119,Not a split block group,Not Applicable,f1e30e18-b6cd-4f50-9bd5-fd67a017ce1a,22220997.969696,23796.0440970864
85,340010114044,2377,467,19.64661338,2377,873,1504,63.27303324,1061,43,4.0527804,Minority,Block group,3400129280,ATLANTIC,Hamilton Township,0112,Not a split block group,Not Applicable,c48dd01d-6e04-447f-8f12-02369cc84813,52827183.8665161,35568.8520453725
86,340010117022,2411,1108,45.95603484,2411,904,1507,62.50518457,993,82,8.25780463,Low Income and Minority,Block group,3400120290,ATLANTIC,Egg Harbor Township,0108,Not a split block group,Not Applicable,45774e53-3f81-477b-b597-0d4e4be08d3a,246802284.607697,72981.915412335
87,340010130002,316,113,35.75949367,316,316,0,0,162,0,0,Low Income,Block group,3400143890,ATLANTIC,Margate City,0116,Not a split block group,Not Applicable,f8a60a03-ac7c-4143-8adb-fe2b96e583fd,2910345.62843323,7055.68554963165
88,340010118031,1227,345,28.11735941,1227,598,629,51.26324368,541,0,0,Minority,Block group,3400120290,ATLANTIC,Egg Harbor Township,0108,Not a split block group,Not Applicable,cce25c30-79f8-40f8-8ba3-7242871cb43a,27057173.4076233,34902.655461875
89,340010118041,2651,466,17.57827235,2651,1484,1167,44.0211241,855,15,1.75438596,Minority,Block group,3400120290,ATLANTIC,Egg Harbor Township,0108,Not a split block group,Not Applicable,e6b5c239-52ad-4696-87a1-332c04a438ac,52701692.9607086,31530.8093953919
90,340010118071,1965,177,9.00763359,1965,877,1088,55.36895674,504,67,13.29365079,Minority,Block group,3400120290,ATLANTIC,Egg Harbor Township,0108,Not a split block group,Not Applicable,762a96df-d58f-4a88-b35f-ae2a29d5201d,40012191.4086151,26423.4713542263
91,340010121001,1583,627,39.6083386,1583,81,1502,94.88313329,438,84,19.17808219,Low Income and Minority,Block group,3400159640,ATLANTIC,Pleasantville City,0119,Not a split block group,Not Applicable,b038592b-0b0f-45a9-a745-5f21ba6558ae,7234317.43448639,12098.6809638308
92,340010121002,1469,807,54.93533016,1601,186,1415,88.38226109,505,172,34.05940594,Low Income and Minority,Block group,3400159640,ATLANTIC,Pleasantville City,0119,Not a split block group,Not Applicable,c8006a65-7c4c-4dc8-822c-a38155d7f256,55532354.1239624,33837.7740360863
93,340010122001,2726,1541,56.52971387,2726,68,2658,97.50550257,792,78,9.84848485,Low Income and Minority,Block group,3400159640,ATLANTIC,Pleasantville City,0119,Not a split block group,Not Applicable,d66adde2-5d7f-4318-8ad6-089d9c68a77c,10622249.5766678,14680.4295894428
94,340010122003,1338,384,28.69955157,1390,253,1137,81.79856115,689,51,7.40203193,Minority,Block group,3400159640,ATLANTIC,Pleasantville City,0119,Not a split block group,Not Applicable,cf6a1bb1-4006-4804-910c-a6f74fd54c35,14213836.1155548,15363.3208540849
95,340010131023,484,177,36.57024793,484,413,71,14.66942149,340,0,0,Low Income,Block group,3400143890,ATLANTIC,Margate City,0116,Not a split block group,Not Applicable,e3411645-239e-490e-8b23-638eec465e70,12641355.0593185,19444.4272812992
96,340010127021,1638,650,39.68253968,1638,1075,563,34.37118437,702,5,0.71225071,Low Income,Block group,3400168430,ATLANTIC,Somers Point City,0121,Not a split block group,Not Applicable,14d64fbe-9ebe-43ea-8154-2c6320da26fd,37789828.7093506,35485.5899631976
97,340010128011,2520,1394,55.31746032,2520,1156,1364,54.12698413,1100,91,8.27272727,Low Income and Minority,Block group,3400168430,ATLANTIC,Somers Point City,0121,Not a split block group,Not Applicable,0ec9ba16-2bcb-44a1-98f1-a8ef89eedc8b,20605504.7961273,21790.5529604534
98,340010132012,550,82,14.90909091,550,238,312,56.72727273,265,0,0,Minority,Block group,3400175620,ATLANTIC,Ventnor City,0122,Not a split block group,Not Applicable,60186c02-5ac0-42e6-95e7-a8a05df16a2f,772858.362609863,3891.58855079486
99,340010132013,849,322,37.92697291,849,647,202,23.79269729,536,49,9.14179104,Low Income,Block group,3400175620,ATLANTIC,Ventnor City,0122,Not a split block group,Not Applicable,b99bec97-fab4-4b8e-81bf-644a20a4d7c9,21195997.1788406,31214.8521673233
100,340010133022,971,257,26.46755922,971,537,434,44.6961895,411,0,0,Minority,Block group,3400175620,ATLANTIC,Ventnor City,0122,Not a split block group,Not Applicable,9eb895b0-506d-41c1-a6f3-965a27f8dd35,10210916.9475098,16550.451036973
101,340010133023,481,213,44.28274428,481,404,77,16.00831601,273,27,9.89010989,Low Income,Block group,3400175620,ATLANTIC,Ventnor City,0122,Not a split block group,Not Applicable,d3ed4785-d9eb-408d-84ba-bde3a8411003,2868123.86753845,7573.98882222399
102,340030022003,714,63,8.82352941,714,316,398,55.74229692,251,12,4.78087649,Minority,Block group,3400353430,BERGEN,Northvale Borough,0240,Not a split block group,Not Applicable,99a8be38-aabd-44ee-9478-f814767e87e6,3495987.89822388,9241.96786024462
103,340030022004,1224,73,5.96405229,1224,705,519,42.40196078,401,7,1.74563591,Minority,Block group,3400353430,BERGEN,Northvale Borough,0240,Not a split block group,Not Applicable,89c6ad06-d90c-43a9-92fb-de094ed942ca,10069457.9856873,12915.9825335385
104,340030031003,1277,85,6.65622553,1277,289,988,77.3688332,532,167,31.39097744,Minority,Block group,3400305170,BERGEN,Bergenfield Borough,0203,Not a split block group,Not Applicable,89dee338-d824-472d-a0c2-a4f1b3eb1aa9,4130515.72338867,9127.83694322743
105,340030031004,672,111,16.51785714,672,29,643,95.68452381,263,86,32.69961977,Minority,Block group,3400305170,BERGEN,Bergenfield Borough,0203,Not a split block group,Not Applicable,bd38410e-0a33-4aab-9fa6-698ef674fca9,1542850.2817688,8052.95843926105
