OBJECTID,GEOID,POVUNIVERSE,POPUNDER2XPOV,LOW_INCOME_PCT,TOTALPOP,NONHISPWHITE,TOTALMINORITY,MINORITY_PCT,TOTHH,TOTLANGUAGEISO,PCTLINGUAGEISO,OVERBURDENED_COMMUNITY_CRITERI,BG_TRIBAL,GEOID_COUNTYSUBDIVISION,COUNTY,NAME,MUN_CODE,SPLIT_BG,SPLIT_MUN,GLOBALID,Shape__Area,Shape__Length
2967,340311246024,1282,256,19.96879875,1282,741,541,42.19968799,516,47,9.10852713,Minority,Block group,3403113690,PASSAIC,Clifton City,1602,Not a split block group,Not Applicable,966691c6-55cb-4540-99ed-07d32f79febe,4361306.75753784,9255.3896257484
2968,340311247001,1188,84,7.07070707,1188,580,608,51.17845118,461,193,41.86550976,Minority and Limited English,Block group,3403113690,PASSAIC,Clifton City,1602,Not a split block group,Not Applicable,191487c8-207a-4745-8655-4764b746e30f,4261441.01171875,10323.3384232102
2969,340311247002,1086,45,4.14364641,1086,328,758,69.79742173,312,76,24.35897436,Minority,Block group,3403113690,PASSAIC,Clifton City,1602,Not a split block group,Not Applicable,6b24cb31-416f-4979-8255-8b70b920e005,4069015.15679932,8734.79305339109
2970,340311246023,994,310,31.18712274,994,261,733,73.74245473,306,30,9.80392157,Minority,Block group,3403113690,PASSAIC,Clifton City,1602,Not a split block group,Not Applicable,70f5bd46-40a0-4487-80c2-d74e46c4aa75,2426731.04589844,6837.62168808415
2971,340311247004,1185,96,8.10126582,1185,199,986,83.20675105,336,22,6.54761905,Minority,Block group,3403113690,PASSAIC,Clifton City,1602,Not a split block group,Not Applicable,b02c9cf0-63be-4569-b671-85f0e187ca9b,1510173.37597656,5389.80903971588
2972,340311247005,1323,428,32.35071807,1323,168,1155,87.3015873,480,160,33.33333333,Minority,Block group,3403113690,PASSAIC,Clifton City,1602,Not a split block group,Not Applicable,a1dee5d8-507f-4e77-bb43-26e55da2e2b9,1871705.81835938,8226.99664204632
2973,340311247006,477,179,37.52620545,477,246,231,48.42767296,232,45,19.39655172,Low Income and Minority,Block group,3403113690,PASSAIC,Clifton City,1602,Not a split block group,Not Applicable,591a5287-a0d9-4088-907d-b5949f9a171f,4361567.4987793,11217.5141232325
2974,340311248001,816,153,18.75,816,235,581,71.20098039,321,32,9.96884735,Minority,Block group,3403113690,PASSAIC,Clifton City,1602,Not a split block group,Not Applicable,9c763b4e-c4c6-4564-9bf5-6f87e0d205e8,2217052.51828003,7021.26016051788
2975,340311248002,375,30,8,375,214,161,42.93333333,216,18,8.33333333,Minority,Block group,3403113690,PASSAIC,Clifton City,1602,Not a split block group,Not Applicable,7fb5305d-11f9-4c5d-ac03-eec3d85d12d6,2612330.73623657,8445.15565335459
2976,340311248004,747,233,31.1914324,768,254,514,66.92708333,223,4,1.79372197,Minority,Block group,3403113690,PASSAIC,Clifton City,1602,Not a split block group,Not Applicable,f2200234-420c-4765-9e17-f3445faff476,1941668.71807861,7067.80253543528
2977,340311248005,972,307,31.58436214,972,368,604,62.1399177,438,34,7.76255708,Minority,Block group,3403113690,PASSAIC,Clifton City,1602,Not a split block group,Not Applicable,dca3a15c-7e80-468d-9ea9-a41d55b3aa7b,2000353.5682373,6733.6360797807
2978,340311249002,893,428,47.92833147,893,215,678,75.92385218,335,66,19.70149254,Low Income and Minority,Block group,3403113690,PASSAIC,Clifton City,1602,Not a split block group,Not Applicable,c76adb30-db66-4c85-b55a-2a1b0bf5c2df,1914734.83889771,5651.84604173831
2979,340311249003,2370,1156,48.77637131,2370,409,1961,82.74261603,855,183,21.40350877,Low Income and Minority,Block group,3403113690,PASSAIC,Clifton City,1602,Not a split block group,Not Applicable,553d9984-d056-4240-9be5-f610b0ec24e1,3057567.9331665,7203.33954767837
2980,340311249001,1506,180,11.95219124,1506,415,1091,72.4435591,492,26,5.28455285,Minority,Block group,3403113690,PASSAIC,Clifton City,1602,Not a split block group,Not Applicable,ff7d97a0-4094-4743-9106-a33c9562509c,2886018.7154541,10191.9211853789
